DB/Table|Source Column|Ref Table Column|Typelist (per Dictionary)|Harmonized Column Names (3)|Attributes from Lookup Table
claimcenter.dbo.cc_activitypattern|ClaimLossType|ID|claimcenter.dbo.cctl_LossType|cctl_LossType_TypeCode_ClaimLossType / cctl_LossType_Name_ClaimLossType / cctl_LossType_Description_ClaimLossType|TypeCode / Name / Description
claimcenter.dbo.cc_activitypattern|EscalationBusCalTag|ID|claimcenter.dbo.cctl_HolidayTagCode|cctl_HolidayTagCode_TypeCode_EscalationBusCalTag / cctl_HolidayTagCode_Name_EscalationBusCalTag / cctl_HolidayTagCode_Description_EscalationBusCalTag|TypeCode / Name / Description
claimcenter.dbo.cc_activitypattern|EscalationInclDays|ID|claimcenter.dbo.cctl_IncludeDaysType|cctl_IncludeDaysType_TypeCode_EscalationInclDays / cctl_IncludeDaysType_Name_EscalationInclDays / cctl_IncludeDaysType_Description_EscalationInclDays|TypeCode / Name / Description
claimcenter.dbo.cc_activitypattern|EscalationStartPt|ID|claimcenter.dbo.cctl_StartPointType|cctl_StartPointType_TypeCode_EscalationStartPt / cctl_StartPointType_Name_EscalationStartPt / cctl_StartPointType_Description_EscalationStartPt|TypeCode / Name / Description
claimcenter.dbo.cc_activitypattern|Importance|ID|claimcenter.dbo.cctl_ImportanceLevel|cctl_ImportanceLevel_TypeCode_Importance / cctl_ImportanceLevel_Name_Importance / cctl_ImportanceLevel_Description_Importance|TypeCode / Name / Description
claimcenter.dbo.cc_activitypattern|Priority|ID|claimcenter.dbo.cctl_Priority|cctl_Priority_TypeCode_Priority / cctl_Priority_Name_Priority / cctl_Priority_Description_Priority|TypeCode / Name / Description
claimcenter.dbo.cc_activitypattern|TargetBusCalTag|ID|claimcenter.dbo.cctl_HolidayTagCode|cctl_HolidayTagCode_TypeCode_TargetBusCalTag / cctl_HolidayTagCode_Name_TargetBusCalTag / cctl_HolidayTagCode_Description_TargetBusCalTag|TypeCode / Name / Description
claimcenter.dbo.cc_activitypattern|TargetIncludeDays|ID|claimcenter.dbo.cctl_IncludeDaysType|cctl_IncludeDaysType_TypeCode_TargetIncludeDays / cctl_IncludeDaysType_Name_TargetIncludeDays / cctl_IncludeDaysType_Description_TargetIncludeDays|TypeCode / Name / Description
claimcenter.dbo.cc_activitypattern|TargetStartPoint|ID|claimcenter.dbo.cctl_StartPointType|cctl_StartPointType_TypeCode_TargetStartPoint / cctl_StartPointType_Name_TargetStartPoint / cctl_StartPointType_Description_TargetStartPoint|TypeCode / Name / Description
claimcenter.dbo.cc_activitypattern|Type|ID|claimcenter.dbo.cctl_ActivityType|cctl_ActivityType_TypeCode_Type / cctl_ActivityType_Name_Type / cctl_ActivityType_Description_Type|TypeCode / Name / Description
claimcenter.dbo.cc_actpat_desc_l10n|Language|ID|claimcenter.dbo.cctl_LanguageType|cctl_LanguageType_TypeCode_Language / cctl_LanguageType_Name_Language / cctl_LanguageType_Description_Language|TypeCode / Name / Description
claimcenter.dbo.cc_actpat_ssbj_l10n|Language|ID|claimcenter.dbo.cctl_LanguageType|cctl_LanguageType_TypeCode_Language / cctl_LanguageType_Name_Language / cctl_LanguageType_Description_Language|TypeCode / Name / Description
claimcenter.dbo.cc_actpat_subj_l10n|Language|ID|claimcenter.dbo.cctl_LanguageType|cctl_LanguageType_TypeCode_Language / cctl_LanguageType_Name_Language / cctl_LanguageType_Description_Language|TypeCode / Name / Description
claimcenter.dbo.cc_addnltripaccommodation|Assessment|ID|claimcenter.dbo.cctl_AssessmentAction|cctl_AssessmentAction_TypeCode_Assessment / cctl_AssessmentAction_Name_Assessment / cctl_AssessmentAction_Description_Assessment|TypeCode / Name / Description
claimcenter.dbo.cc_addnltripsegment|Assessment|ID|claimcenter.dbo.cctl_AssessmentAction|cctl_AssessmentAction_TypeCode_Assessment / cctl_AssessmentAction_Name_Assessment / cctl_AssessmentAction_Description_Assessment|TypeCode / Name / Description
claimcenter.dbo.cc_addnltripsegment|TransportType|ID|claimcenter.dbo.cctl_TransportType|cctl_TransportType_TypeCode_TransportType / cctl_TransportType_Name_TransportType / cctl_TransportType_Description_TransportType|TypeCode / Name / Description
claimcenter.dbo.cc_address|AddressType|ID|claimcenter.dbo.cctl_AddressType|cctl_AddressType_TypeCode_AddressType / cctl_AddressType_Name_AddressType / cctl_AddressType_Description_AddressType|TypeCode / Name / Description
claimcenter.dbo.cc_address|Country|ID|claimcenter.dbo.cctl_Country|cctl_Country_TypeCode_Country / cctl_Country_Name_Country / cctl_Country_Description_Country|TypeCode / Name / Description
claimcenter.dbo.cc_address|GeocodeStatus|ID|claimcenter.dbo.cctl_GeocodeStatus|cctl_GeocodeStatus_TypeCode_GeocodeStatus / cctl_GeocodeStatus_Name_GeocodeStatus / cctl_GeocodeStatus_Description_GeocodeStatus|TypeCode / Name / Description
claimcenter.dbo.cc_address|State|ID|claimcenter.dbo.cctl_State|cctl_State_TypeCode_State / cctl_State_Name_State / cctl_State_Description_State|TypeCode / Name / Description
claimcenter.dbo.cc_address|Subtype|ID|claimcenter.dbo.cctl_Address|cctl_Address_TypeCode_Subtype / cctl_Address_Name_Subtype / cctl_Address_Description_Subtype|TypeCode / Name / Description
claimcenter.dbo.cc_addresscorrection|Country|ID|claimcenter.dbo.cctl_Country|cctl_Country_TypeCode_Country / cctl_Country_Name_Country / cctl_Country_Description_Country|TypeCode / Name / Description
claimcenter.dbo.cc_addresscorrection|State|ID|claimcenter.dbo.cctl_State|cctl_State_TypeCode_State / cctl_State_Name_State / cctl_State_Description_State|TypeCode / Name / Description
claimcenter.dbo.cc_aggregatelimit|AggLimitCalcCriteria|ID|claimcenter.dbo.cctl_AggLimitCalcCriteria|cctl_AggLimitCalcCriteria_TypeCode_AggLimitCalcCriteria / cctl_AggLimitCalcCriteria_Name_AggLimitCalcCriteria / cctl_AggLimitCalcCriteria_Description_AggLimitCalcCriteria|TypeCode / Name / Description
claimcenter.dbo.cc_aggregatelimit|LimitType|ID|claimcenter.dbo.cctl_AggregateLimitType|cctl_AggregateLimitType_TypeCode_LimitType / cctl_AggregateLimitType_Name_LimitType / cctl_AggregateLimitType_Description_LimitType|TypeCode / Name / Description
claimcenter.dbo.cc_aggregatelimit|ValueType|ID|claimcenter.dbo.cctl_AggregateType|cctl_AggregateType_TypeCode_ValueType / cctl_AggregateType_Name_ValueType / cctl_AggregateType_Description_ValueType|TypeCode / Name / Description
claimcenter.dbo.cc_agglimitrpt|AggLimitCalcCriteria|ID|claimcenter.dbo.cctl_AggLimitCalcCriteria|cctl_AggLimitCalcCriteria_TypeCode_AggLimitCalcCriteria / cctl_AggLimitCalcCriteria_Name_AggLimitCalcCriteria / cctl_AggLimitCalcCriteria_Description_AggLimitCalcCriteria|TypeCode / Name / Description
claimcenter.dbo.cc_agglimitrpt|LimitType|ID|claimcenter.dbo.cctl_AggregateLimitType|cctl_AggregateLimitType_TypeCode_LimitType / cctl_AggregateLimitType_Name_LimitType / cctl_AggregateLimitType_Description_LimitType|TypeCode / Name / Description
claimcenter.dbo.cc_agglimitrpt|ValueType|ID|claimcenter.dbo.cctl_AggregateType|cctl_AggregateType_TypeCode_ValueType / cctl_AggregateType_Name_ValueType / cctl_AggregateType_Description_ValueType|TypeCode / Name / Description
claimcenter.dbo.ccx_AIACode_Ext|LOB|ID|claimcenter.dbo.cctl_LossType|cctl_LossType_TypeCode_LOB / cctl_LossType_Name_LOB / cctl_LossType_Description_LOB|TypeCode / Name / Description
claimcenter.dbo.cc_archiveworkitem|Status|ID|claimcenter.dbo.cctl_WorkItemStatusType|cctl_WorkItemStatusType_TypeCode_Status / cctl_WorkItemStatusType_Name_Status / cctl_WorkItemStatusType_Description_Status|TypeCode / Name / Description
claimcenter.dbo.cc_assessmentcontentitem|Action|ID|claimcenter.dbo.cctl_AssessmentContentAction|cctl_AssessmentContentAction_TypeCode_Action / cctl_AssessmentContentAction_Name_Action / cctl_AssessmentContentAction_Description_Action|TypeCode / Name / Description
claimcenter.dbo.cc_assessmentcontentitem|ContentCategory|ID|claimcenter.dbo.cctl_ContentLineItemCategory|cctl_ContentLineItemCategory_TypeCode_ContentCategory / cctl_ContentLineItemCategory_Name_ContentCategory / cctl_ContentLineItemCategory_Description_ContentCategory|TypeCode / Name / Description
claimcenter.dbo.cc_assessmentcontentitem|ContentSchedule|ID|claimcenter.dbo.cctl_ContentLineItemSchedule|cctl_ContentLineItemSchedule_TypeCode_ContentSchedule / cctl_ContentLineItemSchedule_Name_ContentSchedule / cctl_ContentLineItemSchedule_Description_ContentSchedule|TypeCode / Name / Description
claimcenter.dbo.cc_assessmentcontentitem|VehicleCategory|ID|claimcenter.dbo.cctl_VehicleLineItemCategory|cctl_VehicleLineItemCategory_TypeCode_VehicleCategory / cctl_VehicleLineItemCategory_Name_VehicleCategory / cctl_VehicleLineItemCategory_Description_VehicleCategory|TypeCode / Name / Description
claimcenter.dbo.cc_assessmentitem|Action|ID|claimcenter.dbo.cctl_AssessmentAction|cctl_AssessmentAction_TypeCode_Action / cctl_AssessmentAction_Name_Action / cctl_AssessmentAction_Description_Action|TypeCode / Name / Description
claimcenter.dbo.cc_assessmentitem|PropertyCategory|ID|claimcenter.dbo.cctl_PropertyLineItemCategory|cctl_PropertyLineItemCategory_TypeCode_PropertyCategory / cctl_PropertyLineItemCategory_Name_PropertyCategory / cctl_PropertyLineItemCategory_Description_PropertyCategory|TypeCode / Name / Description
claimcenter.dbo.cc_assessmentitem|VehicleCategory|ID|claimcenter.dbo.cctl_VehicleLineItemCategory|cctl_VehicleLineItemCategory_TypeCode_VehicleCategory / cctl_VehicleLineItemCategory_Name_VehicleCategory / cctl_VehicleLineItemCategory_Description_VehicleCategory|TypeCode / Name / Description
claimcenter.dbo.cc_assessmentline|Event|ID|claimcenter.dbo.cctl_AssessmentEvent|cctl_AssessmentEvent_TypeCode_Event / cctl_AssessmentEvent_Name_Event / cctl_AssessmentEvent_Description_Event|TypeCode / Name / Description
claimcenter.dbo.cc_assessmentsource|SourceType|ID|claimcenter.dbo.cctl_AssessmentSource|cctl_AssessmentSource_TypeCode_SourceType / cctl_AssessmentSource_Name_SourceType / cctl_AssessmentSource_Description_SourceType|TypeCode / Name / Description
claimcenter.dbo.ccx_AssignExposureRank_Ext|ExposureType|ID|claimcenter.dbo.cctl_ExposureType|cctl_ExposureType_TypeCode_ExposureType / cctl_ExposureType_Name_ExposureType / cctl_ExposureType_Description_ExposureType|TypeCode / Name / Description
claimcenter.dbo.ccx_AssignJurisState_Ext|State|ID|claimcenter.dbo.cctl_State|cctl_State_TypeCode_State / cctl_State_Name_State / cctl_State_Description_State|TypeCode / Name / Description
claimcenter.dbo.ccx_AssignmentGroupFilter_Ext|AssignGroupOrder|ID|claimcenter.dbo.cctl_AssignGroupOrderType|cctl_AssignGroupOrderType_TypeCode_AssignGroupOrder / cctl_AssignGroupOrderType_Name_AssignGroupOrder / cctl_AssignGroupOrderType_Description_AssignGroupOrder|TypeCode / Name / Description
claimcenter.dbo.ccx_AssignmentGroupFilter_Ext|GroupAssignmentMethod|ID|claimcenter.dbo.cctl_GroupAssignmentMethod|cctl_GroupAssignmentMethod_TypeCode_GroupAssignmentMethod / cctl_GroupAssignmentMethod_Name_GroupAssignmentMethod / cctl_GroupAssignmentMethod_Description_GroupAssignmentMethod|TypeCode / Name / Description
claimcenter.dbo.ccx_AssignmentGroupFilter_Ext|GroupType|ID|claimcenter.dbo.cctl_GroupType|cctl_GroupType_TypeCode_GroupType / cctl_GroupType_Name_GroupType / cctl_GroupType_Description_GroupType|TypeCode / Name / Description
claimcenter.dbo.ccx_AssignmentGroupFilter_Ext|IncludeSubGroupAssignment|ID|claimcenter.dbo.cctl_AssignmentSubGroup|cctl_AssignmentSubGroup_TypeCode_IncludeSubGroupAssignment / cctl_AssignmentSubGroup_Name_IncludeSubGroupAssignment / cctl_AssignmentSubGroup_Description_IncludeSubGroupAssignment|TypeCode / Name / Description
claimcenter.dbo.ccx_AssignmentRuleFactor_Ext|AssignmentFactors_Ext|ID|claimcenter.dbo.cctl_AssignmentFactors_Ext|cctl_AssignmentFactors_Ext_TypeCode_AssignmentFactors_Ext / cctl_AssignmentFactors_Ext_Name_AssignmentFactors_Ext / cctl_AssignmentFactors_Ext_Description_AssignmentFactors_Ext|TypeCode / Name / Description
claimcenter.dbo.ccx_AssignmentRuleFactor_Ext|AssignmentFactorsType|ID|claimcenter.dbo.cctl_AssignmentFactorsType_Ext|cctl_AssignmentFactorsType_Ext_TypeCode_AssignmentFactorsType / cctl_AssignmentFactorsType_Ext_Name_AssignmentFactorsType / cctl_AssignmentFactorsType_Ext_Description_AssignmentFactorsType|TypeCode / Name / Description
claimcenter.dbo.ccx_AssignmentRuleGroup_Ext|AssignGroupOrder|ID|claimcenter.dbo.cctl_AssignGroupOrderType|cctl_AssignGroupOrderType_TypeCode_AssignGroupOrder / cctl_AssignGroupOrderType_Name_AssignGroupOrder / cctl_AssignGroupOrderType_Description_AssignGroupOrder|TypeCode / Name / Description
claimcenter.dbo.ccx_AssignmentRule_Ext|AssignClaimGroup_Ext|ID|claimcenter.dbo.cctl_AssignClaimGroup_Ext|cctl_AssignClaimGroup_Ext_TypeCode_AssignClaimGroup_Ext / cctl_AssignClaimGroup_Ext_Name_AssignClaimGroup_Ext / cctl_AssignClaimGroup_Ext_Description_AssignClaimGroup_Ext|TypeCode / Name / Description
claimcenter.dbo.ccx_AssignmentRule_Ext|AssignmentAdditionalType|ID|claimcenter.dbo.cctl_AssignmentAdditionalType|cctl_AssignmentAdditionalType_TypeCode_AssignmentAdditionalType / cctl_AssignmentAdditionalType_Name_AssignmentAdditionalType / cctl_AssignmentAdditionalType_Description_AssignmentAdditionalType|TypeCode / Name / Description
claimcenter.dbo.ccx_AssignmentRule_Ext|AssignmentRuleType|ID|claimcenter.dbo.cctl_AssignmentRuleType|cctl_AssignmentRuleType_TypeCode_AssignmentRuleType / cctl_AssignmentRuleType_Name_AssignmentRuleType / cctl_AssignmentRuleType_Description_AssignmentRuleType|TypeCode / Name / Description
claimcenter.dbo.ccx_AssignmentRule_Ext|ClaimGroupLines_Ext|ID|claimcenter.dbo.cctl_ClaimGroupLines_Ext|cctl_ClaimGroupLines_Ext_TypeCode_ClaimGroupLines_Ext / cctl_ClaimGroupLines_Ext_Name_ClaimGroupLines_Ext / cctl_ClaimGroupLines_Ext_Description_ClaimGroupLines_Ext|TypeCode / Name / Description
claimcenter.dbo.ccx_AssignmentRule_Ext|ExposureType|ID|claimcenter.dbo.cctl_ExposureType|cctl_ExposureType_TypeCode_ExposureType / cctl_ExposureType_Name_ExposureType / cctl_ExposureType_Description_ExposureType|TypeCode / Name / Description
claimcenter.dbo.ccx_AssignmentRule_Ext|GroupAssignmentMethod|ID|claimcenter.dbo.cctl_GroupAssignmentMethod|cctl_GroupAssignmentMethod_TypeCode_GroupAssignmentMethod / cctl_GroupAssignmentMethod_Name_GroupAssignmentMethod / cctl_GroupAssignmentMethod_Description_GroupAssignmentMethod|TypeCode / Name / Description
claimcenter.dbo.ccx_AssignmentRule_Ext|LossCause|ID|claimcenter.dbo.cctl_LossCause|cctl_LossCause_TypeCode_LossCause / cctl_LossCause_Name_LossCause / cctl_LossCause_Description_LossCause|TypeCode / Name / Description
claimcenter.dbo.ccx_AssignmentRule_Ext|LossType|ID|claimcenter.dbo.cctl_LossType|cctl_LossType_TypeCode_LossType / cctl_LossType_Name_LossType / cctl_LossType_Description_LossType|TypeCode / Name / Description
claimcenter.dbo.ccx_AssignmentRule_Ext|PolicyType|ID|claimcenter.dbo.cctl_PolicyType|cctl_PolicyType_TypeCode_PolicyType / cctl_PolicyType_Name_PolicyType / cctl_PolicyType_Description_PolicyType|TypeCode / Name / Description
claimcenter.dbo.ccx_AssignmentRule_Ext|PropertySubType|ID|claimcenter.dbo.cctl_PropertySubType_Ext|cctl_PropertySubType_Ext_TypeCode_PropertySubType / cctl_PropertySubType_Ext_Name_PropertySubType / cctl_PropertySubType_Ext_Description_PropertySubType|TypeCode / Name / Description
claimcenter.dbo.ccx_AssignmentRule_Ext|PropertyType|ID|claimcenter.dbo.cctl_TypeofProperty|cctl_TypeofProperty_TypeCode_PropertyType / cctl_TypeofProperty_Name_PropertyType / cctl_TypeofProperty_Description_PropertyType|TypeCode / Name / Description
claimcenter.dbo.ccx_AssignRuleCoverage_Ext|CoverageType|ID|claimcenter.dbo.cctl_CoverageType|cctl_CoverageType_TypeCode_CoverageType / cctl_CoverageType_Name_CoverageType / cctl_CoverageType_Description_CoverageType|TypeCode / Name / Description
claimcenter.dbo.ccx_AssignRuleVehStyle_Ext|VehicleStyle|ID|claimcenter.dbo.cctl_VehicleStyle|cctl_VehicleStyle_TypeCode_VehicleStyle / cctl_VehicleStyle_Name_VehicleStyle / cctl_VehicleStyle_Description_VehicleStyle|TypeCode / Name / Description
claimcenter.dbo.cc_attribute|Type|ID|claimcenter.dbo.cctl_UserAttributeType|cctl_UserAttributeType_TypeCode_Type / cctl_UserAttributeType_Name_Type / cctl_UserAttributeType_Description_Type|TypeCode / Name / Description
claimcenter.dbo.cc_attributeuser|State|ID|claimcenter.dbo.cctl_State|cctl_State_TypeCode_State / cctl_State_Name_State / cctl_State_Description_State|TypeCode / Name / Description
claimcenter.dbo.cc_attr_name_l10n|Language|ID|claimcenter.dbo.cctl_LanguageType|cctl_LanguageType_TypeCode_Language / cctl_LanguageType_Name_Language / cctl_LanguageType_Description_Language|TypeCode / Name / Description
claimcenter.dbo.cc_attr_desc_l10n|Language|ID|claimcenter.dbo.cctl_LanguageType|cctl_LanguageType_TypeCode_Language / cctl_LanguageType_Name_Language / cctl_LanguageType_Description_Language|TypeCode / Name / Description
claimcenter.dbo.cc_authoritylimit|CostType|ID|claimcenter.dbo.cctl_CostType|cctl_CostType_TypeCode_CostType / cctl_CostType_Name_CostType / cctl_CostType_Description_CostType|TypeCode / Name / Description
claimcenter.dbo.cc_authoritylimit|CoverageType|ID|claimcenter.dbo.cctl_CoverageType|cctl_CoverageType_TypeCode_CoverageType / cctl_CoverageType_Name_CoverageType / cctl_CoverageType_Description_CoverageType|TypeCode / Name / Description
claimcenter.dbo.cc_authoritylimit|LimitType|ID|claimcenter.dbo.cctl_AuthorityLimitType|cctl_AuthorityLimitType_TypeCode_LimitType / cctl_AuthorityLimitType_Name_LimitType / cctl_AuthorityLimitType_Description_LimitType|TypeCode / Name / Description
claimcenter.dbo.cc_authorityprofile|Currency|ID|claimcenter.dbo.cctl_Currency|cctl_Currency_TypeCode_Currency / cctl_Currency_Name_Currency / cctl_Currency_Description_Currency|TypeCode / Name / Description
claimcenter.dbo.cc_authlp_desc_l10n|Language|ID|claimcenter.dbo.cctl_LanguageType|cctl_LanguageType_TypeCode_Language / cctl_LanguageType_Name_Language / cctl_LanguageType_Description_Language|TypeCode / Name / Description
claimcenter.dbo.cc_authlp_name_l10n|Language|ID|claimcenter.dbo.cctl_LanguageType|cctl_LanguageType_TypeCode_Language / cctl_LanguageType_Name_Language / cctl_LanguageType_Description_Language|TypeCode / Name / Description
claimcenter.dbo.cc_automatedhandler|PolicyType|ID|claimcenter.dbo.cctl_PolicyType|cctl_PolicyType_TypeCode_PolicyType / cctl_PolicyType_Name_PolicyType / cctl_PolicyType_Description_PolicyType|TypeCode / Name / Description
claimcenter.dbo.cc_automatedhandler|Subtype|ID|claimcenter.dbo.cctl_AutomatedHandler|cctl_AutomatedHandler_TypeCode_Subtype / cctl_AutomatedHandler_Name_Subtype / cctl_AutomatedHandler_Description_Subtype|TypeCode / Name / Description
claimcenter.dbo.cc_automatedhandler|EmailRole|ID|claimcenter.dbo.cctl_ContactRole|cctl_ContactRole_TypeCode_EmailRole / cctl_ContactRole_Name_EmailRole / cctl_ContactRole_Description_EmailRole|TypeCode / Name / Description
claimcenter.dbo.cc_automatedhandler|NotificationType|ID|claimcenter.dbo.cctl_shnotificationtype|cctl_shnotificationtype_TypeCode_NotificationType / cctl_shnotificationtype_Name_NotificationType / cctl_shnotificationtype_Description_NotificationType|TypeCode / Name / Description
claimcenter.dbo.cc_benefitperiod|BenefitType|ID|claimcenter.dbo.cctl_LostWagesBenefitType|cctl_LostWagesBenefitType_TypeCode_BenefitType / cctl_LostWagesBenefitType_Name_BenefitType / cctl_LostWagesBenefitType_Description_BenefitType|TypeCode / Name / Description
claimcenter.dbo.cc_benefits|BenefitType|ID|claimcenter.dbo.cctl_LostWagesBenefitType|cctl_LostWagesBenefitType_TypeCode_BenefitType / cctl_LostWagesBenefitType_Name_BenefitType / cctl_LostWagesBenefitType_Description_BenefitType|TypeCode / Name / Description
claimcenter.dbo.cc_benefits|PaidOnTime|ID|claimcenter.dbo.cctl_PaidOnTime|cctl_PaidOnTime_TypeCode_PaidOnTime / cctl_PaidOnTime_Name_PaidOnTime / cctl_PaidOnTime_Description_PaidOnTime|TypeCode / Name / Description
claimcenter.dbo.cc_benefits|PaymentFrequency|ID|claimcenter.dbo.cctl_PaymentFrequencyType|cctl_PaymentFrequencyType_TypeCode_PaymentFrequency / cctl_PaymentFrequencyType_Name_PaymentFrequency / cctl_PaymentFrequencyType_Description_PaymentFrequency|TypeCode / Name / Description
claimcenter.dbo.cc_benefits|ProviderType|ID|claimcenter.dbo.cctl_ProviderType|cctl_ProviderType_TypeCode_ProviderType / cctl_ProviderType_Name_ProviderType / cctl_ProviderType_Description_ProviderType|TypeCode / Name / Description
claimcenter.dbo.cc_benefits|RetroPeriod|ID|claimcenter.dbo.cctl_RetroPeriodType|cctl_RetroPeriodType_TypeCode_RetroPeriod / cctl_RetroPeriodType_Name_RetroPeriod / cctl_RetroPeriodType_Description_RetroPeriod|TypeCode / Name / Description
claimcenter.dbo.cc_benefits|SettleMethod|ID|claimcenter.dbo.cctl_SettleMethod|cctl_SettleMethod_TypeCode_SettleMethod / cctl_SettleMethod_Name_SettleMethod / cctl_SettleMethod_Description_SettleMethod|TypeCode / Name / Description
claimcenter.dbo.cc_benefits|WaitingPeriod|ID|claimcenter.dbo.cctl_WaitingPeriodType|cctl_WaitingPeriodType_TypeCode_WaitingPeriod / cctl_WaitingPeriodType_Name_WaitingPeriod / cctl_WaitingPeriodType_Description_WaitingPeriod|TypeCode / Name / Description
claimcenter.dbo.cc_bivalidationalert|AlertType|ID|claimcenter.dbo.cctl_BIValidationAlertType|cctl_BIValidationAlertType_TypeCode_AlertType / cctl_BIValidationAlertType_Name_AlertType / cctl_BIValidationAlertType_Description_AlertType|TypeCode / Name / Description
claimcenter.dbo.cc_bodypart|CompensabilityDecision|ID|claimcenter.dbo.cctl_CompensabilityDecision|cctl_CompensabilityDecision_TypeCode_CompensabilityDecision / cctl_CompensabilityDecision_Name_CompensabilityDecision / cctl_CompensabilityDecision_Description_CompensabilityDecision|TypeCode / Name / Description
claimcenter.dbo.cc_bodypart|DetailedBodyPart|ID|claimcenter.dbo.cctl_DetailedBodyPartType|cctl_DetailedBodyPartType_TypeCode_DetailedBodyPart / cctl_DetailedBodyPartType_Name_DetailedBodyPart / cctl_DetailedBodyPartType_Description_DetailedBodyPart|TypeCode / Name / Description
claimcenter.dbo.cc_bodypart|PrimaryBodyPart|ID|claimcenter.dbo.cctl_BodyPartType|cctl_BodyPartType_TypeCode_PrimaryBodyPart / cctl_BodyPartType_Name_PrimaryBodyPart / cctl_BodyPartType_Description_PrimaryBodyPart|TypeCode / Name / Description
claimcenter.dbo.cc_BudgetLine|BudgetLineType|ID|claimcenter.dbo.cctl_LineCategory|cctl_LineCategory_TypeCode_BudgetLineType / cctl_LineCategory_Name_BudgetLineType / cctl_LineCategory_Description_BudgetLineType|TypeCode / Name / Description
claimcenter.dbo.cc_bulkinvoice|ApprovalStatus|ID|claimcenter.dbo.cctl_ApprovalStatus|cctl_ApprovalStatus_TypeCode_ApprovalStatus / cctl_ApprovalStatus_Name_ApprovalStatus / cctl_ApprovalStatus_Description_ApprovalStatus|TypeCode / Name / Description
claimcenter.dbo.cc_bulkinvoice|BankAccountType|ID|claimcenter.dbo.cctl_BankAccountType|cctl_BankAccountType_TypeCode_BankAccountType / cctl_BankAccountType_Name_BankAccountType / cctl_BankAccountType_Description_BankAccountType|TypeCode / Name / Description
claimcenter.dbo.cc_bulkinvoice|CheckInstructions|ID|claimcenter.dbo.cctl_CheckHandlingInstructions|cctl_CheckHandlingInstructions_TypeCode_CheckInstructions / cctl_CheckHandlingInstructions_Name_CheckInstructions / cctl_CheckHandlingInstructions_Description_CheckInstructions|TypeCode / Name / Description
claimcenter.dbo.cc_bulkinvoice|Currency|ID|claimcenter.dbo.cctl_Currency|cctl_Currency_TypeCode_Currency / cctl_Currency_Name_Currency / cctl_Currency_Description_Currency|TypeCode / Name / Description
claimcenter.dbo.cc_bulkinvoice|DefaultCostCategory|ID|claimcenter.dbo.cctl_CostCategory|cctl_CostCategory_TypeCode_DefaultCostCategory / cctl_CostCategory_Name_DefaultCostCategory / cctl_CostCategory_Description_DefaultCostCategory|TypeCode / Name / Description
