DB/Table|Source Column|Ref Table Column|Typelist (per Dictionary)|Final Harmonized Column Names (3)|Attributes from Lookup Table
policycenter.dbo.pc_accountcontactrole|NumberofViolations|ID|policycenter.dbo.pctl_NumberOfAccidents|pctl_NumberOfAccidents_TypeCode7 / pctl_NumberOfAccidents_Name7 / pctl_NumberOfAccidents_Description7|TypeCode / Name / Description
policycenter.dbo.pc_accountcontactrole|TrainingClassType|ID|policycenter.dbo.pctl_TrainingClassType|pctl_TrainingClassType_TypeCode /  pctl_TrainingClassType_Name /  pctl_TrainingClassType_Description|TypeCode / Name / Description
policycenter.dbo.pc_accountcontactrole|RelationshipTitle|ID|policycenter.dbo.pctl_Relationship|pctl_Relationship_TypeCode /  pctl_Relationship_Name /  pctl_Relationship_Description|TypeCode / Name / Description
policycenter.dbo.pc_acctholdercountworkitem|Status|ID|policycenter.dbo.pctl_WorkItemStatusType|pctl_WorkItemStatusType_TypeCode_Status / pctl_WorkItemStatusType_Name_Status / pctl_WorkItemStatusType_Description_Status|TypeCode / Name / Description
policycenter.dbo.pc_accountuserroleassign|AssignmentStatus|ID|policycenter.dbo.pctl_AssignmentStatus|pctl_AssignmentStatus_TypeCode / pctl_AssignmentStatus_Name / pctl_AssignmentStatus_Description|TypeCode / Name / Description
policycenter.dbo.pc_accountuserroleassign|Role|ID|policycenter.dbo.pctl_UserRole|pctl_UserRole_TypeCode / pctl_UserRole_Name / pctl_UserRole_Description|TypeCode / Name / Description
policycenter.dbo.pc_activity|ActivityClass|ID|policycenter.dbo.pctl_ActivityClass|pctl_ActivityClass_TypeCode / pctl_ActivityClass_Name / pctl_ActivityClass_Description|TypeCode / Name / Description
policycenter.dbo.pc_activity|AssignmentStatus|ID|policycenter.dbo.pctl_AssignmentStatus|pctl_AssignmentStatus_TypeCode / pctl_AssignmentStatus_Name / pctl_AssignmentStatus_Description|TypeCode / Name / Description
policycenter.dbo.pc_activity|AssociatedRole|ID|policycenter.dbo.pctl_UserRole|pctl_UserRole_TypeCode / pctl_UserRole_Name / pctl_UserRole_Description|TypeCode / Name / Description
policycenter.dbo.pc_activity|Priority|ID|policycenter.dbo.pctl_Priority|pctl_Priority_TypeCode / pctl_Priority_Name / pctl_Priority_Description|TypeCode / Name / Description
policycenter.dbo.pc_activity|State_Ext|ID|policycenter.dbo.pctl_State|pctl_State_TypeCode / pctl_State_Name / pctl_State_Description|TypeCode / Name / Description
policycenter.dbo.pc_activity|Status|ID|policycenter.dbo.pctl_ActivityStatus|pctl_ActivityStatus_TypeCode / pctl_ActivityStatus_Name / pctl_ActivityStatus_Description|TypeCode / Name / Description
policycenter.dbo.pc_activity|Subtype|ID|policycenter.dbo.pctl_Activity|pctl_Activity_TypeCode / pctl_Activity_Name / pctl_Activity_Description|TypeCode / Name / Description
policycenter.dbo.pc_activity|Type|ID|policycenter.dbo.pctl_ActivityType|pctl_ActivityType_TypeCode / pctl_ActivityType_Name / pctl_ActivityType_Description|TypeCode / Name / Description
policycenter.dbo.pc_activity|ValidationLevel|ID|policycenter.dbo.pctl_ValidationLevel|pctl_ValidationLevel_TypeCode / pctl_ValidationLevel_Name / pctl_ValidationLevel_Description|TypeCode / Name / Description
policycenter.dbo.pc_activitypattern|ActivityClass|ID|policycenter.dbo.pctl_ActivityClass|pctl_ActivityClass_TypeCode / pctl_ActivityClass_Name / pctl_ActivityClass_Description|TypeCode / Name / Description
policycenter.dbo.pc_activitypattern|Category|ID|policycenter.dbo.pctl_ActivityCategory|pctl_ActivityCategory_TypeCode / pctl_ActivityCategory_Name / pctl_ActivityCategory_Description|TypeCode / Name / Description
policycenter.dbo.pc_activitypattern|EscalationBusCalTag|ID|policycenter.dbo.pctl_HolidayTagCode|pctl_HolidayTagCode_TypeCode2 / pctl_HolidayTagCode_Name2 / pctl_HolidayTagCode_Description2|TypeCode / Name / Description
policycenter.dbo.pc_activitypattern|EscalationInclDays|ID|policycenter.dbo.pctl_IncludeDaysType|pctl_IncludeDaysType_TypeCode2 / pctl_IncludeDaysType_Name2 / pctl_IncludeDaysType_Description2|TypeCode / Name / Description
policycenter.dbo.pc_activitypattern|EscalationStartPt|ID|policycenter.dbo.pctl_StartPointType|pctl_StartPointType_TypeCode1 /  pctl_StartPointType_Name1 /  pctl_StartPointType_Description1|TypeCode / Name / Description
policycenter.dbo.pc_activitypattern|PatternLevel|ID|policycenter.dbo.pctl_ActivityPatternLevel|pctl_ActivityPatternLevel_TypeCode / pctl_ActivityPatternLevel_Name / pctl_ActivityPatternLevel_Description|TypeCode / Name / Description
policycenter.dbo.pc_activitypattern|Priority|ID|policycenter.dbo.pctl_Priority|pctl_Priority_TypeCode / pctl_Priority_Name / pctl_Priority_Description|TypeCode / Name / Description
policycenter.dbo.pc_activitypattern|TargetBusCalTag|ID|policycenter.dbo.pctl_HolidayTagCode|pctl_HolidayTagCode_TypeCode1 / pctl_HolidayTagCode_Name1 / pctl_HolidayTagCode_Description1|TypeCode / Name / Description
policycenter.dbo.pc_activitypattern|TargetIncludeDays|ID|policycenter.dbo.pctl_IncludeDaysType|pctl_IncludeDaysType_TypeCode1 / pctl_IncludeDaysType_Name1 / pctl_IncludeDaysType_Description1|TypeCode / Name / Description
policycenter.dbo.pc_activitypattern|TargetStartPoint|ID|policycenter.dbo.pctl_StartPointType|pctl_StartPointType_TypeCode2 /  pctl_StartPointType_Name2 /  pctl_StartPointType_Description2|TypeCode / Name / Description
policycenter.dbo.pc_activitypattern|Type|ID|policycenter.dbo.pctl_ActivityType|pctl_ActivityType_TypeCode / pctl_ActivityType_Name / pctl_ActivityType_Description|TypeCode / Name / Description
policycenter.dbo.pc_actpat_desc_l10n|Language|ID|policycenter.dbo.pctl_LanguageType|pctl_LanguageType_TypeCode / pctl_LanguageType_Name / pctl_LanguageType_Description|TypeCode / Name / Description
policycenter.dbo.pc_actpat_ssbj_l10n|Language|ID|policycenter.dbo.pctl_LanguageType|pctl_LanguageType_TypeCode / pctl_LanguageType_Name / pctl_LanguageType_Description|TypeCode / Name / Description
policycenter.dbo.pc_actpat_subj_l10n|Language|ID|policycenter.dbo.pctl_LanguageType|pctl_LanguageType_TypeCode / pctl_LanguageType_Name / pctl_LanguageType_Description|TypeCode / Name / Description
policycenter.dbo.pcx_additionalinsuredcov|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenter.dbo.pcx_addInsuredcovBP7ext|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description
policycenter.dbo.pc_addlinterestdetail|AdditionalInterestType|ID|policycenter.dbo.pctl_AdditionalInterestType|pctl_AdditionalInterestType_TypeCode / pctl_AdditionalInterestType_Name / pctl_AdditionalInterestType_Description|TypeCode / Name / Description
policycenter.dbo.pc_addlinterestdetail|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenter.dbo.pc_addlinterestdetail|DescriptionProperty|ID|policycenter.dbo.pctl_DescriptionProperty_BP7|pctl_DescriptionProperty_BP7_TypeCode / pctl_DescriptionProperty_BP7_Name / pctl_DescriptionProperty_BP7_Description|TypeCode / Name / Description
policycenter.dbo.pc_addlinterestdetail|Subtype|ID|policycenter.dbo.pctl_AddlInterestDetail|pctl_AddlInterestDetail_TypeCode / pctl_AddlInterestDetail_Name / pctl_AddlInterestDetail_Description|TypeCode / Name / Description
policycenter.dbo.pc_address|AddressType|ID|policycenter.dbo.pctl_AddressType|pctl_AddressType_TypeCode / pctl_AddressType_Name / pctl_AddressType_Description|TypeCode / Name / Description
policycenter.dbo.pc_address|Country|ID|policycenter.dbo.pctl_Country|pctl_Country_TypeCode / pctl_Country_Name / pctl_Country_Description|TypeCode / Name / Description
policycenter.dbo.pc_address|GeocodeStatus|ID|policycenter.dbo.pctl_GeocodeStatus|pctl_GeocodeStatus_TypeCode / pctl_GeocodeStatus_Name / pctl_GeocodeStatus_Description|TypeCode / Name / Description
policycenter.dbo.pc_address|State|ID|policycenter.dbo.pctl_State|pctl_State_TypeCode / pctl_State_Name / pctl_State_Description|TypeCode / Name / Description
policycenter.dbo.pc_address|Subtype|ID|policycenter.dbo.pctl_Address|pctl_Address_TypeCode / pctl_Address_Name / pctl_Address_Description|TypeCode / Name / Description
policycenter.dbo.pc_address|PhoneCountry|ID|policycenter.dbo.pctl_PhoneCountryCode|pctl_PhoneCountryCode_TypeCode / pctl_PhoneCountryCode_Name / pctl_PhoneCountryCode_Description|TypeCode / Name / Description
policycenter.dbo.pc_addresscorrection|Country|ID|policycenter.dbo.pctl_Country|pctl_Country_TypeCode_Country / pctl_Country_Name_Country / pctl_Country_Description_Country|TypeCode / Name / Description
policycenter.dbo.pc_addresscorrection|State|ID|policycenter.dbo.pctl_State|pctl_State_TypeCode_State / pctl_State_Name_State / pctl_State_Description_State|TypeCode / Name / Description
policycenter.dbo.pc_affinitygroup|AffinityGroupType|ID|policycenter.dbo.pctl_AffinityGroupType|pctl_AffinityGroupType_TypeCode / pctl_AffinityGroupType_Name / pctl_AffinityGroupType_Description|TypeCode / Name / Description
policycenter.dbo.pc_affinitygroup|PrimaryContactPhoneCountryCode|ID|policycenter.dbo.pctl_PhoneCountryCode|pctl_PhoneCountryCode_TypeCode / pctl_PhoneCountryCode_Name / pctl_PhoneCountryCode_Description|TypeCode / Name / Description
policycenter.dbo.pcx_affinitygroupisobopcode|IsoBopCode|ID|policycenter.dbo.pctl_BOPCodeAffinityPrgm_Ext|pctl_BOPCodeAffinityPrgm_Ext_TypeCode_IsoBopCode / pctl_BOPCodeAffinityPrgm_Ext_Name_IsoBopCode / pctl_BOPCodeAffinityPrgm_Ext_Description_IsoBopCode|TypeCode / Name / Description
policycenter.dbo.pc_affinitygroupjur|Jurisdiction|ID|policycenter.dbo.pctl_Jurisdiction|pctl_Jurisdiction_TypeCode / pctl_Jurisdiction_Name / pctl_Jurisdiction_Description|TypeCode / Name / Description
policycenter.dbo.pcx_affinitygroupstat|State|ID|policycenter.dbo.pctl_State|pctl_State_TypeCode / pctl_State_Name / pctl_State_Description|TypeCode / Name / Description
policycenter.dbo.pc_agencybillplan|Currency|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_Currency / pctl_Currency_Name_Currency / pctl_Currency_Description_Currency|TypeCode / Name / Description
policycenter.dbo.pc_agreementparticipant|FlatPremium_cur|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_FlatPremium_cur / pctl_Currency_Name_FlatPremium_cur / pctl_Currency_Description_FlatPremium_cur|TypeCode / Name / Description
policycenter.dbo.pcx_allItemLimit|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenter.dbo.pcx_amsapti_ext|Subtype|ID|policycenter.dbo.pctl_AmsApti_Ext|pctl_AmsApti_Ext_TypeCode / pctl_AmsApti_Ext_Name / pctl_AmsApti_Ext_Description|TypeCode / Name / Description
policycenter.dbo.pc_archiveworkitem|Status|ID|policycenter.dbo.pctl_WorkItemStatusType|pctl_WorkItemStatusType_TypeCode_Status / pctl_WorkItemStatusType_Name_Status / pctl_WorkItemStatusType_Description_Status|TypeCode / Name / Description
policycenter.dbo.pcx_assistedCareLiving|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenter.dbo.pcx_assistedCareLiving|limt|ID|policycenter.dbo.pctl_HoAssistedCovLimit|pctl_HoAssistedCovLimit_TypeCode / pctl_HoAssistedCovLimit_Name / pctl_HoAssistedCovLimit_Description|TypeCode / Name / Description
policycenter.dbo.pcx_assistedCareLiving|relationToNI|ID|policycenter.dbo.pctl_RelationshipToInsured|pctl_RelationshipToInsured_TypeCode / pctl_RelationshipToInsured_Name / pctl_RelationshipToInsured_Description|TypeCode / Name / Description
policycenter.dbo.pc_attribute|Type|ID|policycenter.dbo.pctl_UserAttributeType|pctl_UserAttributeType_TypeCode_Type / pctl_UserAttributeType_Name_Type / pctl_UserAttributeType_Description_Type|TypeCode / Name / Description
policycenter.dbo.pc_attributeuser|State|ID|policycenter.dbo.pctl_State|pctl_State_TypeCode_State / pctl_State_Name_State / pctl_State_Description_State|TypeCode / Name / Description
policycenter.dbo.pc_attr_name_l10n|Language|ID|policycenter.dbo.pctl_LanguageType|pctl_LanguageType_TypeCode_Language / pctl_LanguageType_Name_Language / pctl_LanguageType_Description_Language|TypeCode / Name / Description
policycenter.dbo.pc_attr_desc_l10n|Language|ID|policycenter.dbo.pctl_LanguageType|pctl_LanguageType_TypeCode_Language / pctl_LanguageType_Name_Language / pctl_LanguageType_Description_Language|TypeCode / Name / Description
policycenter.dbo.pc_auditinformation|ActualAuditMethod|ID|policycenter.dbo.pctl_AuditMethod|pctl_AuditMethod_TypeCode_ActualAuditMethod / pctl_AuditMethod_Name_ActualAuditMethod / pctl_AuditMethod_Description_ActualAuditMethod|TypeCode / Name / Description
policycenter.dbo.pc_auditinformation|AuditFee_cur|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_AuditFee_cur / pctl_Currency_Name_AuditFee_cur / pctl_Currency_Description_AuditFee_cur|TypeCode / Name / Description
policycenter.dbo.pc_auditinformation|AuditMethod|ID|policycenter.dbo.pctl_AuditMethod|pctl_AuditMethod_TypeCode_AuditMethod / pctl_AuditMethod_Name_AuditMethod / pctl_AuditMethod_Description_AuditMethod|TypeCode / Name / Description
policycenter.dbo.pc_auditinformation|AuditScheduleType|ID|policycenter.dbo.pctl_AuditScheduleType|pctl_AuditScheduleType_TypeCode_AuditScheduleType / pctl_AuditScheduleType_Name_AuditScheduleType / pctl_AuditScheduleType_Description_AuditScheduleType|TypeCode / Name / Description
policycenter.dbo.pc_auditinformation|FirstEscalationPrompt|ID|policycenter.dbo.pctl_AuditEscalationPromptType|pctl_AuditEscalationPromptType_TypeCode_FirstEscalationPrompt / pctl_AuditEscalationPromptType_Name_FirstEscalationPrompt / pctl_AuditEscalationPromptType_Description_FirstEscalationPrompt|TypeCode / Name / Description
policycenter.dbo.pc_auditinformation|RevisionType|ID|policycenter.dbo.pctl_RevisionType|pctl_RevisionType_TypeCode_RevisionType / pctl_RevisionType_Name_RevisionType / pctl_RevisionType_Description_RevisionType|TypeCode / Name / Description
policycenter.dbo.pc_auditinformation|SecondEscalationPrompt|ID|policycenter.dbo.pctl_AuditEscalationPromptType|pctl_AuditEscalationPromptType_TypeCode_SecondEscalationPrompt / pctl_AuditEscalationPromptType_Name_SecondEscalationPrompt / pctl_AuditEscalationPromptType_Description_SecondEscalationPrompt|TypeCode / Name / Description
policycenter.dbo.pc_bacededpremiumhistory|Reason|ID|policycenter.dbo.pctl_RIRecalcReason|pctl_RIRecalcReason_TypeCode_Reason / pctl_RIRecalcReason_Name_Reason / pctl_RIRecalcReason_Description_Reason|TypeCode / Name / Description
policycenter.dbo.pc_bacededpremiumtransaction|BasisGNP_cur|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_BasisGNP_cur / pctl_Currency_Name_BasisGNP_cur / pctl_Currency_Description_BasisGNP_cur|TypeCode / Name / Description
policycenter.dbo.pc_bacededpremiumtransaction|CededPremium_cur|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_CededPremium_cur / pctl_Currency_Name_CededPremium_cur / pctl_Currency_Description_CededPremium_cur|TypeCode / Name / Description
policycenter.dbo.pc_bacededpremiumtransaction|CededPremiumMarkup_cur|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_CededPremiumMarkup_cur / pctl_Currency_Name_CededPremiumMarkup_cur / pctl_Currency_Description_CededPremiumMarkup_cur|TypeCode / Name / Description
policycenter.dbo.pc_bacededpremiumtransaction|CededRiskAmount_cur|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_CededRiskAmount_cur / pctl_Currency_Name_CededRiskAmount_cur / pctl_Currency_Description_CededRiskAmount_cur|TypeCode / Name / Description
policycenter.dbo.pc_bacededpremiumtransaction|Commission_cur|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_Commission_cur / pctl_Currency_Name_Commission_cur / pctl_Currency_Description_Commission_cur|TypeCode / Name / Description
policycenter.dbo.pc_bacost|ActualAmount_cur|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_ActualAmount_cur / pctl_Currency_Name_ActualAmount_cur / pctl_Currency_Description_ActualAmount_cur|TypeCode / Name / Description
policycenter.dbo.pc_bacost|ActualAmountBilling_cur|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_ActualAmountBilling_cur / pctl_Currency_Name_ActualAmountBilling_cur / pctl_Currency_Description_ActualAmountBilling_cur|TypeCode / Name / Description
policycenter.dbo.pc_bacost|ActualTermAmount_cur|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_ActualTermAmount_cur / pctl_Currency_Name_ActualTermAmount_cur / pctl_Currency_Description_ActualTermAmount_cur|TypeCode / Name / Description
policycenter.dbo.pc_bacost|ActualTermAmountBilling_cur|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_ActualTermAmountBilling_cur / pctl_Currency_Name_ActualTermAmountBilling_cur / pctl_Currency_Description_ActualTermAmountBilling_cur|TypeCode / Name / Description
policycenter.dbo.pc_bacost|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description
policycenter.dbo.pc_bacost|ChargePattern|ID|policycenter.dbo.pctl_ChargePattern|pctl_ChargePattern_TypeCode_ChargePattern / pctl_ChargePattern_Name_ChargePattern / pctl_ChargePattern_Description_ChargePattern|TypeCode / Name / Description
policycenter.dbo.pc_bacost|OverrideAmount_cur|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_OverrideAmount_cur / pctl_Currency_Name_OverrideAmount_cur / pctl_Currency_Description_OverrideAmount_cur|TypeCode / Name / Description
policycenter.dbo.pc_bacost|OverrideAmountBilling_cur|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_OverrideAmountBilling_cur / pctl_Currency_Name_OverrideAmountBilling_cur / pctl_Currency_Description_OverrideAmountBilling_cur|TypeCode / Name / Description
policycenter.dbo.pc_bacost|OverrideSource|ID|policycenter.dbo.pctl_OverrideSourceType|pctl_OverrideSourceType_TypeCode_OverrideSource / pctl_OverrideSourceType_Name_OverrideSource / pctl_OverrideSourceType_Description_OverrideSource|TypeCode / Name / Description
policycenter.dbo.pc_bacost|OverrideTermAmount_cur|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_OverrideTermAmount_cur / pctl_Currency_Name_OverrideTermAmount_cur / pctl_Currency_Description_OverrideTermAmount_cur|TypeCode / Name / Description
policycenter.dbo.pc_bacost|OverrideTermAmountBilling_cur|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_OverrideTermAmountBilling_cur / pctl_Currency_Name_OverrideTermAmountBilling_cur / pctl_Currency_Description_OverrideTermAmountBilling_cur|TypeCode / Name / Description
policycenter.dbo.pc_bacost|ProrationMethod|ID|policycenter.dbo.pctl_ProrationMethod|pctl_ProrationMethod_TypeCode_ProrationMethod / pctl_ProrationMethod_Name_ProrationMethod / pctl_ProrationMethod_Description_ProrationMethod|TypeCode / Name / Description
policycenter.dbo.pc_bacost|RateAmountType|ID|policycenter.dbo.pctl_RateAmountType|pctl_RateAmountType_TypeCode_RateAmountType / pctl_RateAmountType_Name_RateAmountType / pctl_RateAmountType_Description_RateAmountType|TypeCode / Name / Description
policycenter.dbo.pc_bacost|RatedOrder|ID|policycenter.dbo.pctl_BARatedOrderType|pctl_BARatedOrderType_TypeCode_RatedOrder / pctl_BARatedOrderType_Name_RatedOrder / pctl_BARatedOrderType_Description_RatedOrder|TypeCode / Name / Description
policycenter.dbo.pc_bacost|RoundingMode|ID|policycenter.dbo.pctl_RoundingModeType|pctl_RoundingModeType_TypeCode_RoundingMode / pctl_RoundingModeType_Name_RoundingMode / pctl_RoundingModeType_Description_RoundingMode|TypeCode / Name / Description
policycenter.dbo.pc_bacost|StandardAmount_cur|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_StandardAmount_cur / pctl_Currency_Name_StandardAmount_cur / pctl_Currency_Description_StandardAmount_cur|TypeCode / Name / Description
policycenter.dbo.pc_bacost|StandardAmountBilling_cur|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_StandardAmountBilling_cur / pctl_Currency_Name_StandardAmountBilling_cur / pctl_Currency_Description_StandardAmountBilling_cur|TypeCode / Name / Description
policycenter.dbo.pc_bacost|StandardTermAmount_cur|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_StandardTermAmount_cur / pctl_Currency_Name_StandardTermAmount_cur / pctl_Currency_Description_StandardTermAmount_cur|TypeCode / Name / Description
policycenter.dbo.pc_bacost|StandardTermAmountBilling_cur|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode_StandardTermAmountBilling_cur / pctl_Currency_Name_StandardTermAmountBilling_cur / pctl_Currency_Description_StandardTermAmountBilling_cur|TypeCode / Name / Description
policycenter.dbo.pc_bacost|Subtype|ID|policycenter.dbo.pctl_BACost|pctl_BACost_TypeCode_Subtype / pctl_BACost_Name_Subtype / pctl_BACost_Description_Subtype|TypeCode / Name / Description
policycenter.dbo.pc_bacost|BAJurisdictionCostType|ID|policycenter.dbo.pctl_BAJurisdictionCostType|pctl_BAJurisdictionCostType_TypeCode_BAJurisdictionCostType / pctl_BAJurisdictionCostType_Name_BAJurisdictionCostType / pctl_BAJurisdictionCostType_Description_BAJurisdictionCostType|TypeCode / Name / Description
policycenter.dbo.pc_bacost|BANonOwnedLiabCovCostType|ID|policycenter.dbo.pctl_BANonOwnedLiabCovCostType|pctl_BANonOwnedLiabCovCostType_TypeCode_BANonOwnedLiabCovCostType / pctl_BANonOwnedLiabCovCostType_Name_BANonOwnedLiabCovCostType / pctl_BANonOwnedLiabCovCostType_Description_BANonOwnedLiabCovCostType|TypeCode / Name / Description
policycenter.dbo.pc_bacost|BAStateCovPIPCostType|ID|policycenter.dbo.pctl_BAStateCovPIPCostType|pctl_BAStateCovPIPCostType_TypeCode_BAStateCovPIPCostType / pctl_BAStateCovPIPCostType_Name_BAStateCovPIPCostType / pctl_BAStateCovPIPCostType_Description_BAStateCovPIPCostType|TypeCode / Name / Description
policycenter.dbo.pc_bahiredautoinfo|ChangeType|ID|policycenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description
