DB/TABLE|Send to Lake|PII (Y/N)|CDC Column|LookUp Ref|HardDeleteFlag|PartitionBy|NumPartitions|Rows|Note
BillingCenter.dbo.bctl_activityclass|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_activityownershiptype_ext|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_activitystatus|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_activitytype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_address|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_addresstype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_advanceexpirationworkitem|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_agblsusppmntworkitem|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_agencybillcycle|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_agencybilleventstatus|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_agencybillexceptiontype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_agencycycledistprefill|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_agencycycleprocess|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_agencydstrbutiontype_ext|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_agencyitemtype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_agencypaymenttargettype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_agencypmntitemsfiltertype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_agencypromisetargettype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_agencywriteofftype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_aggregationtype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_agingdatebasis|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_anchorevent|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_applicablesegments|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_approvalstatus|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_archivefinalstatus|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_archivesourcestatus|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_archivestate|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_assignedriskrestriction|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_assignmentsearchtype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_assignmentselectiontype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_assignmentstatus|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_authorityevent|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_authoritylimittype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_autodisbworkitem|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_autosync|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_availabledisbamttype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_bankaccounttype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_basedist|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_basedistitem|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_basemoneyreceived|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_basenonreceivabledistitem|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_batchprocesstype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_batchprocesstypeusage|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_billdateorduedatebilling|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_billinginstruction|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_billinglevel|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_businesstype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_ca7modeltype_ext|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_cancellationtarget|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_cancellationtype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_catastrophestatus_ext|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_characterset|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_chargecategory|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_chargefiltertype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_chargeholdstatus|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_chargeinstancectx|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_chargepattern|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_chargepriority|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_chargeproratatxworkitem|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_clearinglogictarget|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_cmsnadjreason_ext|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_cmsnadjustment_ext|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_cmsnpayableworkitem|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_cmsnplanoverridemethod|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_cmsnwriteoffdistitemtype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_collateralcontext|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_collaterallevel|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_collateralrequirementtype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_collectionagency|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_colleffectiveworkitem|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_collexpirationworkitem|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_commissionindicator_ext|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_commissionpayment|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_commissionpaymenttime|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_commissionpaymenttype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_commissionrateoverride|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_commissionsubplan|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_commissiontransferoption|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_compliancestatus|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_componenttype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_confirmationnotification|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_consistencychecktype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_contact|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_contactapprovalstatus|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_contactbidirel|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_contactchangeres|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_contactclass|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_contactlinkstatustype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_contactmatchresulttype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_contactrel|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_contactrelcons|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_contactsearchresulttype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_contactsearchtype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_contacttagtype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_contacttype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_country|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_creditcardissuer|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_creditcontext|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_credittype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_currency|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_customerservicetier|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_customhistorytype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_datachangestatus|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_datadistributiontype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_datagenactiontype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_datagenstatustype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_datebindatatype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_datefieldstosearchtype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_daterangechoicetype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_datesearchtype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_dayofmonthlogic|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_dayofweek|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_dbpmntaggregatecriteria|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_dbpmntdistributioncontext|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_dbpmntgroupingcriteria|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_dbpmntinvoicesort|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_dbupdatestatsrunnertype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_delinquencycause|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_delinquencyeventname|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_delinquencyprocess|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_delinquencyprocessphase|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_delinquencyprocessstatus|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_delinquencyreason|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_delinquencysearchview|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_delinquencystatus|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_delinquencytriggerbasis|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_directbillpmntacctrole|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_directbillpmntaccts|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_disbsearchcriteria|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_disbursement|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_disbursementsearchview|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_disbursementstatus|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_disbursementworkitem|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_distitemdisposition|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_distributionfiltertype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_distributionlimittype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_documentsection|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_documentsecuritytype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_documentstatustype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_documenttype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_effdatedchangetype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_employmentstatustype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_entitysourcetype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_errorcategory|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_etlstrings|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_exceptionlock|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_externaltooltype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_financialcriterion|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_financialsearchfield|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_fullpaydscworkitem|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_fundsallotmentworkitem|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_fundssourcetype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_fundstracker|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_fundsusetype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_fxratemarket|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_gendertype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_geocodestatus|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_grouptype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_history|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_historyeventtype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_historytype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_holdtype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_holidaytagcode|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_hopolicytype_ext|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_inboundhistory|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_incentive|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_includedaystype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_invoice|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_invoiceassemblercontext|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_invoicebilledworkitem|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_invoicedeliverymethod|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_invoicedueworkitem|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_invoiceitemfiltertype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_invoiceitemorderingtype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_invoiceitemtype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_invoiceitemviewoption|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_invoicepaidstatus|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_invoicestatus|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_invoicestream|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_invoicetreatment|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_invoicingblackouttype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_itemeventtype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_itemplacementcutofftype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_jurisdiction|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_jurisdictiontype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_languagetype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_ledgerside|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_letterofcreditstatus|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_letterofcreditworkitem|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_linetype_ext|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_listbillacctexcess|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_loadcommandtype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_loadercallbacktimetype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_loaderrortype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_loadfactortype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_loadsteptype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_lobcode|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_localetype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_lowbalancemethod|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_manageworkflowactiontype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_maritalstatus|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_mergeconflictresolution|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_mergeconflictstrategy|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_messagedestinationstatus|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_multipaymenttype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_nameprefix|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_namesuffix|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_negativewriteoff|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_negworeasonext|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_newpaymentworkitem|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_nonreceivableitemcontext|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_notesecuritytype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_notetopictype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_notetype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_officialid|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_officialidtype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_orasqltuningsetcaptureopt|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_organizationtype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_outgoingpayment|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_outgoingpaymentstatus|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_parametertype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_payablecriteria|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_paymentitemactionkind|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_paymentitemgroupreason|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_paymentmethod|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_paymentmoveoption|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_paymentplanmodifier|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_paymentreason_ext|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_paymentrequeststatus|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_paymentrequestworkitem|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_paymentreversalreason|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_paymentscheduledafter|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_paymentsources_ext|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_payperiodtype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_periodicity|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_phonecountrycode|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_phonetype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_placementofnewitemsoption|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_plan|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_plcycorrespondencetype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_policyactivityaggtype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_policycancelstatus|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_policyclosurecondition|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_policyclosurestatus|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_policyclosureworkitem|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_policylevelpaymentoption|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_policyperiodbillingmethod|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_policyperiodrole|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_policyperiodstatus|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_policyrole|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_policyterms_ext|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_policytransactiontype_ext|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_policytransfer|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_premiumreportddworkitem|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_primarycolor|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_primaryphonetype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_printformat|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_priority|Y| |Truncate and Load|TypeList| ||||
