DB/Table|Source Column|Ref Table Column|Typelist (per Dictionary)|Final Harmonized Column Names (3)|Attributes from Lookup Table||Table|Source Column|Ref Table Column|Typelist (per Dictionary)|Harmonized Column Names|Attributes from Lookup Table
BillingCenter.dbo.bc_account|ServiceTier|ID|BillingCenter.dbo.bctl_CustomerServiceTier|bctl_CustomerServiceTier_TypeCode_ServiceTier / bctl_CustomerServiceTier_Name_ServiceTier / bctl_CustomerServiceTier_Description_ServiceTier|TypeCode / Name / Description||BillingCenter.dbo.bc_account|ServiceTier|ID|BillingCenter.dbo.bctl_CustomerServiceTier|bctl_CustomerServiceTier_TypeCode_ServiceTier / bctl_CustomerServiceTier_Name_ServiceTier / bctl_CustomerServiceTier_Description_ServiceTier|TypeCode / Name / Description
BillingCenter.dbo.bc_accountcontactrole|Role|ID|BillingCenter.dbo.bctl_AccountRole|bctl_AccountRole_TypeCode_Role / bctl_AccountRole_Name_Role / bctl_AccountRole_Description_Role|TypeCode / Name / Description||BillingCenter.dbo.bc_accountcontactrole|Role|ID|BillingCenter.dbo.bctl_AccountRole|bctl_AccountRole_TypeCode_Role / bctl_AccountRole_Name_Role / bctl_AccountRole_Description_Role|TypeCode / Name / Description
BillingCenter.dbo.bc_accountcontext|Currency|ID|BillingCenter.dbo.bctl_Currency|bctl_Currency_TypeCode_Currency / bctl_Currency_Name_Currency / bctl_Currency_Description_Currency|TypeCode / Name / Description||BillingCenter.dbo.bc_accountcontext|Currency|ID|BillingCenter.dbo.bctl_Currency|bctl_Currency_TypeCode_Currency / bctl_Currency_Name_Currency / bctl_Currency_Description_Currency|TypeCode / Name / Description
BillingCenter.dbo.bc_accountcontext|Subtype|ID|BillingCenter.dbo.bctl_AccountContext|bctl_AccountContext_TypeCode_Subtype / bctl_AccountContext_Name_Subtype / bctl_AccountContext_Description_Subtype|TypeCode / Name / Description||BillingCenter.dbo.bc_accountcontext|Subtype|ID|BillingCenter.dbo.bctl_AccountContext|bctl_AccountContext_TypeCode_Subtype / bctl_AccountContext_Name_Subtype / bctl_AccountContext_Description_Subtype|TypeCode / Name / Description
BillingCenter.dbo.bc_accountinactivityworkitem|Status|ID|BillingCenter.dbo.bctl_WorkItemStatusType|bctl_WorkItemStatusType_TypeCode_Status / bctl_WorkItemStatusType_Name_Status / bctl_WorkItemStatusType_Description_Status|TypeCode / Name / Description||BillingCenter.dbo.bc_accountinactivityworkitem|Status|ID|BillingCenter.dbo.bctl_WorkItemStatusType|bctl_WorkItemStatusType_TypeCode_Status / bctl_WorkItemStatusType_Name_Status / bctl_WorkItemStatusType_Description_Status|TypeCode / Name / Description
BillingCenter.dbo.bc_accountinactivityworkitem|Subtype|ID|BillingCenter.dbo.bctl_AccountInactivityWorkItem|bctl_AccountInactivityWorkItem_TypeCode_Subtype / bctl_AccountInactivityWorkItem_Name_Subtype / bctl_AccountInactivityWorkItem_Description_Subtype|TypeCode / Name / Description||BillingCenter.dbo.bc_accountinactivityworkitem|Subtype|ID|BillingCenter.dbo.bctl_AccountInactivityWorkItem|bctl_AccountInactivityWorkItem_TypeCode_Subtype / bctl_AccountInactivityWorkItem_Name_Subtype / bctl_AccountInactivityWorkItem_Description_Subtype|TypeCode / Name / Description
BillingCenter.dbo.bc_accountpaymentplan|Currency|ID|BillingCenter.dbo.bctl_Currency|bctl_Currency_TypeCode_Currency / bctl_Currency_Name_Currency / bctl_Currency_Description_Currency|TypeCode / Name / Description||BillingCenter.dbo.bc_accountpaymentplan|Currency|ID|BillingCenter.dbo.bctl_Currency|bctl_Currency_TypeCode_Currency / bctl_Currency_Name_Currency / bctl_Currency_Description_Currency|TypeCode / Name / Description
BillingCenter.dbo.bc_acctcorrespondenceentry|AcctCorrespondenceType|ID|BillingCenter.dbo.bctl_AcctCorrespondenceType|bctl_AcctCorrespondenceType_TypeCode_AcctCorrespondenceType / bctl_AcctCorrespondenceType_Name_AcctCorrespondenceType / bctl_AcctCorrespondenceType_Description_AcctCorrespondenceType|TypeCode / Name / Description||BillingCenter.dbo.bc_acctcorrespondenceentry|AcctCorrespondenceType|ID|BillingCenter.dbo.bctl_AcctCorrespondenceType|bctl_AcctCorrespondenceType_TypeCode_AcctCorrespondenceType / bctl_AcctCorrespondenceType_Name_AcctCorrespondenceType / bctl_AcctCorrespondenceType_Description_AcctCorrespondenceType|TypeCode / Name / Description
BillingCenter.dbo.bc_acctinvcpolpersnapshot|Currency|ID|BillingCenter.dbo.bctl_Currency|bctl_Currency_TypeCode_Currency / bctl_Currency_Name_Currency / bctl_Currency_Description_Currency|TypeCode / Name / Description||BillingCenter.dbo.bc_acctinvcpolpersnapshot|Currency|ID|BillingCenter.dbo.bctl_Currency|bctl_Currency_TypeCode_Currency / bctl_Currency_Name_Currency / bctl_Currency_Description_Currency|TypeCode / Name / Description
BillingCenter.dbo.bc_acctinvcpolpersnapshot|OutstandingAmount_cur|ID|BillingCenter.dbo.bctl_Currency|bctl_Currency_TypeCode_OutstandingAmount_cur / bctl_Currency_Name_OutstandingAmount_cur / bctl_Currency_Description_OutstandingAmount_cur|TypeCode / Name / Description||BillingCenter.dbo.bc_acctinvcpolpersnapshot|OutstandingAmount_cur|ID|BillingCenter.dbo.bctl_Currency|bctl_Currency_TypeCode_OutstandingAmount_cur / bctl_Currency_Name_OutstandingAmount_cur / bctl_Currency_Description_OutstandingAmount_cur|TypeCode / Name / Description
BillingCenter.dbo.bc_acctinvcpolpersnapshot|RemainingBalance_cur|ID|BillingCenter.dbo.bctl_Currency|bctl_Currency_TypeCode_RemainingBalance_cur / bctl_Currency_Name_RemainingBalance_cur / bctl_Currency_Description_RemainingBalance_cur|TypeCode / Name / Description||BillingCenter.dbo.bc_acctinvcpolpersnapshot|RemainingBalance_cur|ID|BillingCenter.dbo.bctl_Currency|bctl_Currency_TypeCode_RemainingBalance_cur / bctl_Currency_Name_RemainingBalance_cur / bctl_Currency_Description_RemainingBalance_cur|TypeCode / Name / Description
BillingCenter.dbo.bc_activity|ActivityClass|ID|BillingCenter.dbo.bctl_ActivityClass|bctl_ActivityClass_TypeCode_ActivityClass / bctl_ActivityClass_Name_ActivityClass / bctl_ActivityClass_Description_ActivityClass|TypeCode / Name / Description||BillingCenter.dbo.bc_activity|ActivityClass|ID|BillingCenter.dbo.bctl_ActivityClass|bctl_ActivityClass_TypeCode_ActivityClass / bctl_ActivityClass_Name_ActivityClass / bctl_ActivityClass_Description_ActivityClass|TypeCode / Name / Description
BillingCenter.dbo.bc_activity|AssignmentStatus|ID|BillingCenter.dbo.bctl_AssignmentStatus|bctl_AssignmentStatus_TypeCode_AssignmentStatus / bctl_AssignmentStatus_Name_AssignmentStatus / bctl_AssignmentStatus_Description_AssignmentStatus|TypeCode / Name / Description||BillingCenter.dbo.bc_activity|AssignmentStatus|ID|BillingCenter.dbo.bctl_AssignmentStatus|bctl_AssignmentStatus_TypeCode_AssignmentStatus / bctl_AssignmentStatus_Name_AssignmentStatus / bctl_AssignmentStatus_Description_AssignmentStatus|TypeCode / Name / Description
BillingCenter.dbo.bc_activity|Priority|ID|BillingCenter.dbo.bctl_Priority|bctl_Priority_TypeCode_Priority / bctl_Priority_Name_Priority / bctl_Priority_Description_Priority|TypeCode / Name / Description||BillingCenter.dbo.bc_activity|Priority|ID|BillingCenter.dbo.bctl_Priority|bctl_Priority_TypeCode_Priority / bctl_Priority_Name_Priority / bctl_Priority_Description_Priority|TypeCode / Name / Description
BillingCenter.dbo.bc_activity|Status|ID|BillingCenter.dbo.bctl_ActivityStatus|bctl_ActivityStatus_TypeCode_Status / bctl_ActivityStatus_Name_Status / bctl_ActivityStatus_Description_Status|TypeCode / Name / Description||BillingCenter.dbo.bc_activity|Status|ID|BillingCenter.dbo.bctl_ActivityStatus|bctl_ActivityStatus_TypeCode_Status / bctl_ActivityStatus_Name_Status / bctl_ActivityStatus_Description_Status|TypeCode / Name / Description
BillingCenter.dbo.bc_activity|Subtype|ID|BillingCenter.dbo.bctl_Activity|bctl_Activity_TypeCode_Subtype / bctl_Activity_Name_Subtype / bctl_Activity_Description_Subtype|TypeCode / Name / Description||BillingCenter.dbo.bc_activity|Subtype|ID|BillingCenter.dbo.bctl_Activity|bctl_Activity_TypeCode_Subtype / bctl_Activity_Name_Subtype / bctl_Activity_Description_Subtype|TypeCode / Name / Description
BillingCenter.dbo.bc_activity|Type|ID|BillingCenter.dbo.bctl_ActivityType|bctl_ActivityType_TypeCode_Type / bctl_ActivityType_Name_Type / bctl_ActivityType_Description_Type|TypeCode / Name / Description||BillingCenter.dbo.bc_activity|Type|ID|BillingCenter.dbo.bctl_ActivityType|bctl_ActivityType_TypeCode_Type / bctl_ActivityType_Name_Type / bctl_ActivityType_Description_Type|TypeCode / Name / Description
BillingCenter.dbo.bc_activity|ValidationLevel|ID|BillingCenter.dbo.bctl_ValidationLevel|bctl_ValidationLevel_TypeCode_ValidationLevel / bctl_ValidationLevel_Name_ValidationLevel / bctl_ValidationLevel_Description_ValidationLevel|TypeCode / Name / Description||BillingCenter.dbo.bc_activity|ValidationLevel|ID|BillingCenter.dbo.bctl_ValidationLevel|bctl_ValidationLevel_TypeCode_ValidationLevel / bctl_ValidationLevel_Name_ValidationLevel / bctl_ValidationLevel_Description_ValidationLevel|TypeCode / Name / Description
BillingCenter.dbo.bc_activitypattern|ActivityClass|ID|BillingCenter.dbo.bctl_ActivityClass|bctl_ActivityClass_TypeCode_ActivityClass / bctl_ActivityClass_Name_ActivityClass / bctl_ActivityClass_Description_ActivityClass|TypeCode / Name / Description||BillingCenter.dbo.bc_activitypattern|ActivityClass|ID|BillingCenter.dbo.bctl_ActivityClass|bctl_ActivityClass_TypeCode_ActivityClass / bctl_ActivityClass_Name_ActivityClass / bctl_ActivityClass_Description_ActivityClass|TypeCode / Name / Description
BillingCenter.dbo.bc_activitypattern|Category|ID|BillingCenter.dbo.bctl_ActivityCategory|bctl_ActivityCategory_TypeCode_Category / bctl_ActivityCategory_Name_Category / bctl_ActivityCategory_Description_Category|TypeCode / Name / Description||BillingCenter.dbo.bc_activitypattern|Category|ID|BillingCenter.dbo.bctl_ActivityCategory|bctl_ActivityCategory_TypeCode_Category / bctl_ActivityCategory_Name_Category / bctl_ActivityCategory_Description_Category|TypeCode / Name / Description
BillingCenter.dbo.bc_activitypattern|EscalationBusCalTag|ID|BillingCenter.dbo.bctl_HolidayTagCode|bctl_HolidayTagCode_TypeCode_EscalationBusCalTag / bctl_HolidayTagCode_Name_EscalationBusCalTag / bctl_HolidayTagCode_Description_EscalationBusCalTag|TypeCode / Name / Description||BillingCenter.dbo.bc_activitypattern|EscalationBusCalTag|ID|BillingCenter.dbo.bctl_HolidayTagCode|bctl_HolidayTagCode_TypeCode_EscalationBusCalTag / bctl_HolidayTagCode_Name_EscalationBusCalTag / bctl_HolidayTagCode_Description_EscalationBusCalTag|TypeCode / Name / Description
BillingCenter.dbo.bc_activitypattern|EscalationInclDays|ID|BillingCenter.dbo.bctl_IncludeDaysType|bctl_IncludeDaysType_TypeCode_EscalationInclDays / bctl_IncludeDaysType_Name_EscalationInclDays / bctl_IncludeDaysType_Description_EscalationInclDays|TypeCode / Name / Description||BillingCenter.dbo.bc_activitypattern|EscalationInclDays|ID|BillingCenter.dbo.bctl_IncludeDaysType|bctl_IncludeDaysType_TypeCode_EscalationInclDays / bctl_IncludeDaysType_Name_EscalationInclDays / bctl_IncludeDaysType_Description_EscalationInclDays|TypeCode / Name / Description
BillingCenter.dbo.bc_activitypattern|EscalationStartPt|ID|BillingCenter.dbo.bctl_StartPointType|bctl_StartPointType_TypeCode_EscalationStartPt / bctl_StartPointType_Name_EscalationStartPt / bctl_StartPointType_Description_EscalationStartPt|TypeCode / Name / Description||BillingCenter.dbo.bc_activitypattern|EscalationStartPt|ID|BillingCenter.dbo.bctl_StartPointType|bctl_StartPointType_TypeCode_EscalationStartPt / bctl_StartPointType_Name_EscalationStartPt / bctl_StartPointType_Description_EscalationStartPt|TypeCode / Name / Description
BillingCenter.dbo.bc_activitypattern|Priority|ID|BillingCenter.dbo.bctl_Priority|bctl_Priority_TypeCode_Priority / bctl_Priority_Name_Priority / bctl_Priority_Description_Priority|TypeCode / Name / Description||BillingCenter.dbo.bc_activitypattern|Priority|ID|BillingCenter.dbo.bctl_Priority|bctl_Priority_TypeCode_Priority / bctl_Priority_Name_Priority / bctl_Priority_Description_Priority|TypeCode / Name / Description
BillingCenter.dbo.bc_activitypattern|TargetBusCalTag|ID|BillingCenter.dbo.bctl_HolidayTagCode|bctl_HolidayTagCode_TypeCode_TargetBusCalTag / bctl_HolidayTagCode_Name_TargetBusCalTag / bctl_HolidayTagCode_Description_TargetBusCalTag|TypeCode / Name / Description||BillingCenter.dbo.bc_activitypattern|TargetBusCalTag|ID|BillingCenter.dbo.bctl_HolidayTagCode|bctl_HolidayTagCode_TypeCode_TargetBusCalTag / bctl_HolidayTagCode_Name_TargetBusCalTag / bctl_HolidayTagCode_Description_TargetBusCalTag|TypeCode / Name / Description
BillingCenter.dbo.bc_activitypattern|TargetIncludeDays|ID|BillingCenter.dbo.bctl_IncludeDaysType|bctl_IncludeDaysType_TypeCode_TargetIncludeDays / bctl_IncludeDaysType_Name_TargetIncludeDays / bctl_IncludeDaysType_Description_TargetIncludeDays|TypeCode / Name / Description||BillingCenter.dbo.bc_activitypattern|TargetIncludeDays|ID|BillingCenter.dbo.bctl_IncludeDaysType|bctl_IncludeDaysType_TypeCode_TargetIncludeDays / bctl_IncludeDaysType_Name_TargetIncludeDays / bctl_IncludeDaysType_Description_TargetIncludeDays|TypeCode / Name / Description
BillingCenter.dbo.bc_activitypattern|TargetStartPoint|ID|BillingCenter.dbo.bctl_StartPointType|bctl_StartPointType_TypeCode_TargetStartPoint / bctl_StartPointType_Name_TargetStartPoint / bctl_StartPointType_Description_TargetStartPoint|TypeCode / Name / Description||BillingCenter.dbo.bc_activitypattern|TargetStartPoint|ID|BillingCenter.dbo.bctl_StartPointType|bctl_StartPointType_TypeCode_TargetStartPoint / bctl_StartPointType_Name_TargetStartPoint / bctl_StartPointType_Description_TargetStartPoint|TypeCode / Name / Description
BillingCenter.dbo.bc_activitypattern|Type|ID|BillingCenter.dbo.bctl_ActivityType|bctl_ActivityType_TypeCode_Type / bctl_ActivityType_Name_Type / bctl_ActivityType_Description_Type|TypeCode / Name / Description||BillingCenter.dbo.bc_activitypattern|Type|ID|BillingCenter.dbo.bctl_ActivityType|bctl_ActivityType_TypeCode_Type / bctl_ActivityType_Name_Type / bctl_ActivityType_Description_Type|TypeCode / Name / Description
BillingCenter.dbo.bc_actpat_desc_l10n|Language|ID|BillingCenter.dbo.bctl_LanguageType|bctl_LanguageType_TypeCode_Language / bctl_LanguageType_Name_Language / bctl_LanguageType_Description_Language|TypeCode / Name / Description||BillingCenter.dbo.bc_actpat_desc_l10n|Language|ID|BillingCenter.dbo.bctl_LanguageType|bctl_LanguageType_TypeCode_Language / bctl_LanguageType_Name_Language / bctl_LanguageType_Description_Language|TypeCode / Name / Description
BillingCenter.dbo.bc_actpat_ssbj_l10n|Language|ID|BillingCenter.dbo.bctl_LanguageType|bctl_LanguageType_TypeCode_Language / bctl_LanguageType_Name_Language / bctl_LanguageType_Description_Language|TypeCode / Name / Description||BillingCenter.dbo.bc_actpat_ssbj_l10n|Language|ID|BillingCenter.dbo.bctl_LanguageType|bctl_LanguageType_TypeCode_Language / bctl_LanguageType_Name_Language / bctl_LanguageType_Description_Language|TypeCode / Name / Description
BillingCenter.dbo.bc_actpat_subj_l10n|Language|ID|BillingCenter.dbo.bctl_LanguageType|bctl_LanguageType_TypeCode_Language / bctl_LanguageType_Name_Language / bctl_LanguageType_Description_Language|TypeCode / Name / Description||BillingCenter.dbo.bc_actpat_subj_l10n|Language|ID|BillingCenter.dbo.bctl_LanguageType|bctl_LanguageType_TypeCode_Language / bctl_LanguageType_Name_Language / bctl_LanguageType_Description_Language|TypeCode / Name / Description
BillingCenter.dbo.bc_address|AddressType|ID|BillingCenter.dbo.bctl_AddressType|bctl_AddressType_TypeCode_AddressType / bctl_AddressType_Name_AddressType / bctl_AddressType_Description_AddressType|TypeCode / Name / Description||BillingCenter.dbo.bc_address|AddressType|ID|BillingCenter.dbo.bctl_AddressType|bctl_AddressType_TypeCode_AddressType / bctl_AddressType_Name_AddressType / bctl_AddressType_Description_AddressType|TypeCode / Name / Description
BillingCenter.dbo.bc_address|Country|ID|BillingCenter.dbo.bctl_Country|bctl_Country_TypeCode_Country / bctl_Country_Name_Country / bctl_Country_Description_Country|TypeCode / Name / Description||BillingCenter.dbo.bc_address|Country|ID|BillingCenter.dbo.bctl_Country|bctl_Country_TypeCode_Country / bctl_Country_Name_Country / bctl_Country_Description_Country|TypeCode / Name / Description
BillingCenter.dbo.bc_address|GeocodeStatus|ID|BillingCenter.dbo.bctl_GeocodeStatus|bctl_GeocodeStatus_TypeCode_GeocodeStatus / bctl_GeocodeStatus_Name_GeocodeStatus / bctl_GeocodeStatus_Description_GeocodeStatus|TypeCode / Name / Description||BillingCenter.dbo.bc_address|GeocodeStatus|ID|BillingCenter.dbo.bctl_GeocodeStatus|bctl_GeocodeStatus_TypeCode_GeocodeStatus / bctl_GeocodeStatus_Name_GeocodeStatus / bctl_GeocodeStatus_Description_GeocodeStatus|TypeCode / Name / Description
BillingCenter.dbo.bc_address|State|ID|BillingCenter.dbo.bctl_State|bctl_State_TypeCode_State / bctl_State_Name_State / bctl_State_Description_State|TypeCode / Name / Description||BillingCenter.dbo.bc_address|State|ID|BillingCenter.dbo.bctl_State|bctl_State_TypeCode_State / bctl_State_Name_State / bctl_State_Description_State|TypeCode / Name / Description
BillingCenter.dbo.bc_address|Subtype|ID|BillingCenter.dbo.bctl_Address|bctl_Address_TypeCode_Subtype / bctl_Address_Name_Subtype / bctl_Address_Description_Subtype|TypeCode / Name / Description||BillingCenter.dbo.bc_address|Subtype|ID|BillingCenter.dbo.bctl_Address|bctl_Address_TypeCode_Subtype / bctl_Address_Name_Subtype / bctl_Address_Description_Subtype|TypeCode / Name / Description
BillingCenter.dbo.bc_addresscorrection|Country|ID|BillingCenter.dbo.bctl_Country|bctl_Country_TypeCode_Country / bctl_Country_Name_Country / bctl_Country_Description_Country|TypeCode / Name / Description||BillingCenter.dbo.bc_addresscorrection|Country|ID|BillingCenter.dbo.bctl_Country|bctl_Country_TypeCode_Country / bctl_Country_Name_Country / bctl_Country_Description_Country|TypeCode / Name / Description
BillingCenter.dbo.bc_addresscorrection|State|ID|BillingCenter.dbo.bctl_State|bctl_State_TypeCode_State / bctl_State_Name_State / bctl_State_Description_State|TypeCode / Name / Description||BillingCenter.dbo.bc_addresscorrection|State|ID|BillingCenter.dbo.bctl_State|bctl_State_TypeCode_State / bctl_State_Name_State / bctl_State_Description_State|TypeCode / Name / Description
BillingCenter.dbo.bc_advanceexpirationworkitem|Status|ID|BillingCenter.dbo.bctl_WorkItemStatusType|bctl_WorkItemStatusType_TypeCode_Status / bctl_WorkItemStatusType_Name_Status / bctl_WorkItemStatusType_Description_Status|TypeCode / Name / Description||BillingCenter.dbo.bc_advanceexpirationworkitem|Status|ID|BillingCenter.dbo.bctl_WorkItemStatusType|bctl_WorkItemStatusType_TypeCode_Status / bctl_WorkItemStatusType_Name_Status / bctl_WorkItemStatusType_Description_Status|TypeCode / Name / Description
BillingCenter.dbo.bc_advanceexpirationworkitem|Subtype|ID|BillingCenter.dbo.bctl_AdvanceExpirationWorkItem|bctl_AdvanceExpirationWorkItem_TypeCode_Subtype / bctl_AdvanceExpirationWorkItem_Name_Subtype / bctl_AdvanceExpirationWorkItem_Description_Subtype|TypeCode / Name / Description||BillingCenter.dbo.bc_advanceexpirationworkitem|Subtype|ID|BillingCenter.dbo.bctl_AdvanceExpirationWorkItem|bctl_AdvanceExpirationWorkItem_TypeCode_Subtype / bctl_AdvanceExpirationWorkItem_Name_Subtype / bctl_AdvanceExpirationWorkItem_Description_Subtype|TypeCode / Name / Description
BillingCenter.dbo.bc_agblsusppmntworkitem|Status|ID|BillingCenter.dbo.bctl_WorkItemStatusType|bctl_WorkItemStatusType_TypeCode_Status / bctl_WorkItemStatusType_Name_Status / bctl_WorkItemStatusType_Description_Status|TypeCode / Name / Description||BillingCenter.dbo.bc_agblsusppmntworkitem|Status|ID|BillingCenter.dbo.bctl_WorkItemStatusType|bctl_WorkItemStatusType_TypeCode_Status / bctl_WorkItemStatusType_Name_Status / bctl_WorkItemStatusType_Description_Status|TypeCode / Name / Description
BillingCenter.dbo.bc_agblsusppmntworkitem|Subtype|ID|BillingCenter.dbo.bctl_AGBLSuspPmntWorkItem|bctl_AGBLSuspPmntWorkItem_TypeCode_Subtype / bctl_AGBLSuspPmntWorkItem_Name_Subtype / bctl_AGBLSuspPmntWorkItem_Description_Subtype|TypeCode / Name / Description||BillingCenter.dbo.bc_agblsusppmntworkitem|Subtype|ID|BillingCenter.dbo.bctl_AGBLSuspPmntWorkItem|bctl_AGBLSuspPmntWorkItem_TypeCode_Subtype / bctl_AGBLSuspPmntWorkItem_Name_Subtype / bctl_AGBLSuspPmntWorkItem_Description_Subtype|TypeCode / Name / Description
BillingCenter.dbo.bc_agencybillcycle|Currency|ID|BillingCenter.dbo.bctl_Currency|bctl_Currency_TypeCode_Currency / bctl_Currency_Name_Currency / bctl_Currency_Description_Currency|TypeCode / Name / Description||BillingCenter.dbo.bc_agencybillcycle|Currency|ID|BillingCenter.dbo.bctl_Currency|bctl_Currency_TypeCode_Currency / bctl_Currency_Name_Currency / bctl_Currency_Description_Currency|TypeCode / Name / Description
