DB/Table|Source Column|Ref Table Column|Typelist (per Dictionary)|Final Harmonized Column Names (3)|Attributes from Lookup Table|Different?|Harmonized Column Names (3)
[PolicyCenterL4-1].dbo.pc_cpblanketcov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pc_cpbuildingcov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pc_cplocationcov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pc_glcov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pc_gllineschcovitemcov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pc_imaccountsreccov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pc_imsigncov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pc_personalautocov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pc_personalvehiclecov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pc_wcstatecov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pc_workerscompcov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pcx_bp7buildingcov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pcx_bp7classificationcov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pcx_bp7linecov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pcx_bp7locationcov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pcx_ca7autodealercov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pcx_ca7commautolinecov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pcx_ca7garageservicecov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pcx_ca7lineschedcovitemcov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pcx_ca7namedindividualcov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pcx_ca7privatepassengercov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pcx_ca7publictransportcov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pcx_ca7specialtypecov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pcx_ca7statecov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pcx_ca7truckcov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pcx_culine_extcov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pcx_fajurisdictioncov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pcx_falinecov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pcx_favehiclecov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pcx_frmdwellingcov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pcx_frmlinecov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pcx_frmlocationcov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pcx_frmstructurecov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pcx_frmvehiclecov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pcx_frmwatercraftcov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pcx_fulinecov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pcx_ulcupolicy_extcov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pcx_ulpolicy_fuecov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pc_account|AccountOrgType|ID|[PolicyCenterL4-1].dbo.pctl_AccountOrgType|pctl_AccountOrgType_TypeCode / pctl_AccountOrgType_Name / pctl_AccountOrgType_Description|TypeCode / Name / Description|Y|pctl_AccountOrgType_TypeCode_AccountOrgType / pctl_AccountOrgType_Name_AccountOrgType / pctl_AccountOrgType_Description_AccountOrgType
[PolicyCenterL4-1].dbo.pc_account|AccountStatus|ID|[PolicyCenterL4-1].dbo.pctl_AccountStatus|pctl_AccountStatus_TypeCode / pctl_AccountStatus_Name / pctl_AccountStatus_Description|TypeCode / Name / Description|Y|pctl_AccountStatus_TypeCode_AccountStatus / pctl_AccountStatus_Name_AccountStatus / pctl_AccountStatus_Description_AccountStatus
[PolicyCenterL4-1].dbo.pc_account|Accounttype|ID|[PolicyCenterL4-1].dbo.pctl_AccountType|pctl_AccountType_TypeCode / pctl_AccountType_Name / pctl_AccountType_Description|TypeCode / Name / Description|Y|pctl_AccountType_TypeCode_Accounttype / pctl_AccountType_Name_Accounttype / pctl_AccountType_Description_Accounttype
[PolicyCenterL4-1].dbo.pc_account|PreferredCoverageCurrency|ID|[PolicyCenterL4-1].dbo.pctl_Currency|pctl_Currency_TypeCode2 / pctl_Currency_Name2 / pctl_Currency_Description2|TypeCode / Name / Description|Y|pctl_Currency_TypeCode_PreferredCoverageCurrency / pctl_Currency_Name_PreferredCoverageCurrency / pctl_Currency_Description_PreferredCoverageCurrency
[PolicyCenterL4-1].dbo.pc_account|PreferredSettlementCurrency|ID|[PolicyCenterL4-1].dbo.pctl_Currency|pctl_Currency_TypeCode1 / pctl_Currency_Name1 / pctl_Currency_Description1|TypeCode / Name / Description|Y|pctl_Currency_TypeCode_PreferredSettlementCurrency / pctl_Currency_Name_PreferredSettlementCurrency / pctl_Currency_Description_PreferredSettlementCurrency
[PolicyCenterL4-1].dbo.pc_account|PrimaryLanguage|ID|[PolicyCenterL4-1].dbo.pctl_LanguageType|pctl_LanguageType_TypeCode / pctl_LanguageType_Name / pctl_LanguageType_Description|TypeCode / Name / Description|Y|pctl_LanguageType_TypeCode_PrimaryLanguage / pctl_LanguageType_Name_PrimaryLanguage / pctl_LanguageType_Description_PrimaryLanguage
[PolicyCenterL4-1].dbo.pc_account|PrimaryLocale|ID|[PolicyCenterL4-1].dbo.pctl_LocaleType|pctl_LocaleType_TypeCode / pctl_LocaleType_Name / pctl_LocaleType_Description|TypeCode / Name / Description|Y|pctl_LocaleType_TypeCode_PrimaryLocale / pctl_LocaleType_Name_PrimaryLocale / pctl_LocaleType_Description_PrimaryLocale
[PolicyCenterL4-1].dbo.pc_account|ServiceTier|ID|[PolicyCenterL4-1].dbo.pctl_CustomerServiceTier|pctl_CustomerServiceTier_TypeCode / pctl_CustomerServiceTier_Name / pctl_CustomerServiceTier_Description|TypeCode / Name / Description|Y|pctl_CustomerServiceTier_TypeCode_ServiceTier / pctl_CustomerServiceTier_Name_ServiceTier / pctl_CustomerServiceTier_Description_ServiceTier
[PolicyCenterL4-1].dbo.pc_accountaccount|RelationshipType|ID|[PolicyCenterL4-1].dbo.pctl_AccountRelationshipType|pctl_AccountRelationshipType_TypeCode / pctl_AccountRelationshipType_Name / pctl_AccountRelationshipType_Description|TypeCode / Name / Description|Y|pctl_AccountRelationshipType_TypeCode_RelationshipType / pctl_AccountRelationshipType_Name_RelationshipType / pctl_AccountRelationshipType_Description_RelationshipType
[PolicyCenterL4-1].dbo.pcx_accountbp7industries|BOPIndustryType|ID|[PolicyCenterL4-1].dbo.pctl_BP7PropertyType|pctl_BP7PropertyType_TypeCode_BOPIndustryType / pctl_BP7PropertyType_Name_BOPIndustryType / pctl_BP7PropertyType_Description_BOPIndustryType|TypeCode / Name / Description|N|pctl_BP7PropertyType_TypeCode_BOPIndustryType / pctl_BP7PropertyType_Name_BOPIndustryType / pctl_BP7PropertyType_Description_BOPIndustryType
[PolicyCenterL4-1].dbo.pc_accountcontact|Subtype|ID|[PolicyCenterL4-1].dbo.pctl_AccountContact|pctl_AccountContact_TypeCode / pctl_AccountContact_Name / pctl_AccountContact_Description|TypeCode / Name / Description|Y|pctl_AccountContact_TypeCode_Subtype / pctl_AccountContact_Name_Subtype / pctl_AccountContact_Description_Subtype
[PolicyCenterL4-1].dbo.pc_accountcontactrole|Subtype|ID|[PolicyCenterL4-1].dbo.pctl_AccountContactRole|pctl_AccountContactRole_TypeCode / pctl_AccountContactRole_Name / pctl_AccountContactRole_Description|TypeCode / Name / Description|Y|pctl_AccountContactRole_TypeCode_Subtype / pctl_AccountContactRole_Name_Subtype / pctl_AccountContactRole_Description_Subtype
[PolicyCenterL4-1].dbo.pc_accountcontactrole|drivingPrograms|ID|[PolicyCenterL4-1].dbo.pctl_DrivingPrograms|pctl_DrivingPrograms_TypeCode / pctl_DrivingPrograms_Name / pctl_DrivingPrograms_Description|TypeCode / Name / Description|Y|pctl_DrivingPrograms_TypeCode_drivingPrograms / pctl_DrivingPrograms_Name_drivingPrograms / pctl_DrivingPrograms_Description_drivingPrograms
[PolicyCenterL4-1].dbo.pc_accountcontactrole|NumberofAccidents|ID|[PolicyCenterL4-1].dbo.pctl_NumberOfAccidents|pctl_NumberOfAccidents_TypeCode2 / pctl_NumberOfAccidents_Name2 / pctl_NumberOfAccidents_Description2|TypeCode / Name / Description|Y|pctl_NumberOfAccidents_TypeCode_NumberofAccidents / pctl_NumberOfAccidents_Name_NumberofAccidents / pctl_NumberOfAccidents_Description_NumberofAccidents
[PolicyCenterL4-1].dbo.pc_accountcontactrole|NumberOfAtFaultAccidents|ID|[PolicyCenterL4-1].dbo.pctl_NumberOfAccidents|pctl_NumberOfAccidents_TypeCode3 / pctl_NumberOfAccidents_Name3 / pctl_NumberOfAccidents_Description3|TypeCode / Name / Description|Y|pctl_NumberOfAccidents_TypeCode_NumberOfAtFaultAccidents / pctl_NumberOfAccidents_Name_NumberOfAtFaultAccidents / pctl_NumberOfAccidents_Description_NumberOfAtFaultAccidents
[PolicyCenterL4-1].dbo.pc_accountcontactrole|NumberOfMajorViolations|ID|[PolicyCenterL4-1].dbo.pctl_NumberOfAccidents|pctl_NumberOfAccidents_TypeCode4 / pctl_NumberOfAccidents_Name4 / pctl_NumberOfAccidents_Description4|TypeCode / Name / Description|Y|pctl_NumberOfAccidents_TypeCode_NumberOfMajorViolations / pctl_NumberOfAccidents_Name_NumberOfMajorViolations / pctl_NumberOfAccidents_Description_NumberOfMajorViolations
[PolicyCenterL4-1].dbo.pc_accountcontactrole|NumberOfMinorViolations|ID|[PolicyCenterL4-1].dbo.pctl_NumberOfAccidents|pctl_NumberOfAccidents_TypeCode5 / pctl_NumberOfAccidents_Name5 / pctl_NumberOfAccidents_Description5|TypeCode / Name / Description|Y|pctl_NumberOfAccidents_TypeCode_NumberOfMinorViolations / pctl_NumberOfAccidents_Name_NumberOfMinorViolations / pctl_NumberOfAccidents_Description_NumberOfMinorViolations
[PolicyCenterL4-1].dbo.pc_accountcontactrole|NumberOfOtherAccidents|ID|[PolicyCenterL4-1].dbo.pctl_NumberOfAccidents|pctl_NumberOfAccidents_TypeCode6 / pctl_NumberOfAccidents_Name6 / pctl_NumberOfAccidents_Description6|TypeCode / Name / Description|Y|pctl_NumberOfAccidents_TypeCode_NumberOfOtherAccidents / pctl_NumberOfAccidents_Name_NumberOfOtherAccidents / pctl_NumberOfAccidents_Description_NumberOfOtherAccidents
[PolicyCenterL4-1].dbo.pc_accountcontactrole|NumberOfSpeedingViolations|ID|[PolicyCenterL4-1].dbo.pctl_NumberOfAccidents|pctl_NumberOfAccidents_TypeCode1 / pctl_NumberOfAccidents_Name1 / pctl_NumberOfAccidents_Description1|TypeCode / Name / Description|Y|pctl_NumberOfAccidents_TypeCode_NumberOfSpeedingViolations / pctl_NumberOfAccidents_Name_NumberOfSpeedingViolations / pctl_NumberOfAccidents_Description_NumberOfSpeedingViolations
[PolicyCenterL4-1].dbo.pc_accountcontactrole|NumberofViolations|ID|[PolicyCenterL4-1].dbo.pctl_NumberOfAccidents|pctl_NumberOfAccidents_TypeCode7 / pctl_NumberOfAccidents_Name7 / pctl_NumberOfAccidents_Description7|TypeCode / Name / Description|Y|pctl_NumberOfAccidents_TypeCode_NumberofViolations / pctl_NumberOfAccidents_Name_NumberofViolations / pctl_NumberOfAccidents_Description_NumberofViolations
[PolicyCenterL4-1].dbo.pc_accountcontactrole|TrainingClassType|ID|[PolicyCenterL4-1].dbo.pctl_TrainingClassType|pctl_TrainingClassType_TypeCode /  pctl_TrainingClassType_Name /  pctl_TrainingClassType_Description|TypeCode / Name / Description|Y|pctl_TrainingClassType_TypeCode_TrainingClassType / pctl_TrainingClassType_Name_TrainingClassType / pctl_TrainingClassType_Description_TrainingClassType
[PolicyCenterL4-1].dbo.pc_accountcontactrole|RelationshipTitle|ID|[PolicyCenterL4-1].dbo.pctl_Relationship|pctl_Relationship_TypeCode /  pctl_Relationship_Name /  pctl_Relationship_Description|TypeCode / Name / Description|Y|pctl_Relationship_TypeCode_RelationshipTitle / pctl_Relationship_Name_RelationshipTitle / pctl_Relationship_Description_RelationshipTitle
[PolicyCenterL4-1].dbo.pc_acctholdercountworkitem|Status|ID|[PolicyCenterL4-1].dbo.pctl_WorkItemStatusType|pctl_WorkItemStatusType_TypeCode_Status / pctl_WorkItemStatusType_Name_Status / pctl_WorkItemStatusType_Description_Status|TypeCode / Name / Description|N|pctl_WorkItemStatusType_TypeCode_Status / pctl_WorkItemStatusType_Name_Status / pctl_WorkItemStatusType_Description_Status
[PolicyCenterL4-1].dbo.pc_accountuserroleassign|AssignmentStatus|ID|[PolicyCenterL4-1].dbo.pctl_AssignmentStatus|pctl_AssignmentStatus_TypeCode / pctl_AssignmentStatus_Name / pctl_AssignmentStatus_Description|TypeCode / Name / Description|Y|pctl_AssignmentStatus_TypeCode_AssignmentStatus / pctl_AssignmentStatus_Name_AssignmentStatus / pctl_AssignmentStatus_Description_AssignmentStatus
[PolicyCenterL4-1].dbo.pc_accountuserroleassign|Role|ID|[PolicyCenterL4-1].dbo.pctl_UserRole|pctl_UserRole_TypeCode / pctl_UserRole_Name / pctl_UserRole_Description|TypeCode / Name / Description|Y|pctl_UserRole_TypeCode_Role / pctl_UserRole_Name_Role / pctl_UserRole_Description_Role
[PolicyCenterL4-1].dbo.pc_activity|ActivityClass|ID|[PolicyCenterL4-1].dbo.pctl_ActivityClass|pctl_ActivityClass_TypeCode / pctl_ActivityClass_Name / pctl_ActivityClass_Description|TypeCode / Name / Description|Y|pctl_ActivityClass_TypeCode_ActivityClass / pctl_ActivityClass_Name_ActivityClass / pctl_ActivityClass_Description_ActivityClass
[PolicyCenterL4-1].dbo.pc_activity|AssignmentStatus|ID|[PolicyCenterL4-1].dbo.pctl_AssignmentStatus|pctl_AssignmentStatus_TypeCode / pctl_AssignmentStatus_Name / pctl_AssignmentStatus_Description|TypeCode / Name / Description|Y|pctl_AssignmentStatus_TypeCode_AssignmentStatus / pctl_AssignmentStatus_Name_AssignmentStatus / pctl_AssignmentStatus_Description_AssignmentStatus
[PolicyCenterL4-1].dbo.pc_activity|AssociatedRole|ID|[PolicyCenterL4-1].dbo.pctl_UserRole|pctl_UserRole_TypeCode / pctl_UserRole_Name / pctl_UserRole_Description|TypeCode / Name / Description|Y|pctl_UserRole_TypeCode_AssociatedRole / pctl_UserRole_Name_AssociatedRole / pctl_UserRole_Description_AssociatedRole
[PolicyCenterL4-1].dbo.pc_activity|Priority|ID|[PolicyCenterL4-1].dbo.pctl_Priority|pctl_Priority_TypeCode / pctl_Priority_Name / pctl_Priority_Description|TypeCode / Name / Description|Y|pctl_Priority_TypeCode_Priority / pctl_Priority_Name_Priority / pctl_Priority_Description_Priority
[PolicyCenterL4-1].dbo.pc_activity|State_Ext|ID|[PolicyCenterL4-1].dbo.pctl_State|pctl_State_TypeCode / pctl_State_Name / pctl_State_Description|TypeCode / Name / Description|Y|pctl_State_TypeCode_State_Ext / pctl_State_Name_State_Ext / pctl_State_Description_State_Ext
[PolicyCenterL4-1].dbo.pc_activity|Status|ID|[PolicyCenterL4-1].dbo.pctl_ActivityStatus|pctl_ActivityStatus_TypeCode / pctl_ActivityStatus_Name / pctl_ActivityStatus_Description|TypeCode / Name / Description|Y|pctl_ActivityStatus_TypeCode_Status / pctl_ActivityStatus_Name_Status / pctl_ActivityStatus_Description_Status
[PolicyCenterL4-1].dbo.pc_activity|Subtype|ID|[PolicyCenterL4-1].dbo.pctl_Activity|pctl_Activity_TypeCode / pctl_Activity_Name / pctl_Activity_Description|TypeCode / Name / Description|Y|pctl_Activity_TypeCode_Subtype / pctl_Activity_Name_Subtype / pctl_Activity_Description_Subtype
[PolicyCenterL4-1].dbo.pc_activity|Type|ID|[PolicyCenterL4-1].dbo.pctl_ActivityType|pctl_ActivityType_TypeCode / pctl_ActivityType_Name / pctl_ActivityType_Description|TypeCode / Name / Description|Y|pctl_ActivityType_TypeCode_Type / pctl_ActivityType_Name_Type / pctl_ActivityType_Description_Type
[PolicyCenterL4-1].dbo.pc_activity|ValidationLevel|ID|[PolicyCenterL4-1].dbo.pctl_ValidationLevel|pctl_ValidationLevel_TypeCode / pctl_ValidationLevel_Name / pctl_ValidationLevel_Description|TypeCode / Name / Description|Y|pctl_ValidationLevel_TypeCode_ValidationLevel / pctl_ValidationLevel_Name_ValidationLevel / pctl_ValidationLevel_Description_ValidationLevel
[PolicyCenterL4-1].dbo.pc_activitypattern|ActivityClass|ID|[PolicyCenterL4-1].dbo.pctl_ActivityClass|pctl_ActivityClass_TypeCode / pctl_ActivityClass_Name / pctl_ActivityClass_Description|TypeCode / Name / Description|Y|pctl_ActivityClass_TypeCode_ActivityClass / pctl_ActivityClass_Name_ActivityClass / pctl_ActivityClass_Description_ActivityClass
[PolicyCenterL4-1].dbo.pc_activitypattern|Category|ID|[PolicyCenterL4-1].dbo.pctl_ActivityCategory|pctl_ActivityCategory_TypeCode / pctl_ActivityCategory_Name / pctl_ActivityCategory_Description|TypeCode / Name / Description|Y|pctl_ActivityCategory_TypeCode_Category / pctl_ActivityCategory_Name_Category / pctl_ActivityCategory_Description_Category
[PolicyCenterL4-1].dbo.pc_activitypattern|EscalationBusCalTag|ID|[PolicyCenterL4-1].dbo.pctl_HolidayTagCode|pctl_HolidayTagCode_TypeCode2 / pctl_HolidayTagCode_Name2 / pctl_HolidayTagCode_Description2|TypeCode / Name / Description|Y|pctl_HolidayTagCode_TypeCode_EscalationBusCalTag / pctl_HolidayTagCode_Name_EscalationBusCalTag / pctl_HolidayTagCode_Description_EscalationBusCalTag
[PolicyCenterL4-1].dbo.pc_activitypattern|EscalationInclDays|ID|[PolicyCenterL4-1].dbo.pctl_IncludeDaysType|pctl_IncludeDaysType_TypeCode2 / pctl_IncludeDaysType_Name2 / pctl_IncludeDaysType_Description2|TypeCode / Name / Description|Y|pctl_IncludeDaysType_TypeCode_EscalationInclDays / pctl_IncludeDaysType_Name_EscalationInclDays / pctl_IncludeDaysType_Description_EscalationInclDays
[PolicyCenterL4-1].dbo.pc_activitypattern|EscalationStartPt|ID|[PolicyCenterL4-1].dbo.pctl_StartPointType|pctl_StartPointType_TypeCode1 /  pctl_StartPointType_Name1 /  pctl_StartPointType_Description1|TypeCode / Name / Description|Y|pctl_StartPointType_TypeCode_EscalationStartPt / pctl_StartPointType_Name_EscalationStartPt / pctl_StartPointType_Description_EscalationStartPt
[PolicyCenterL4-1].dbo.pc_activitypattern|PatternLevel|ID|[PolicyCenterL4-1].dbo.pctl_ActivityPatternLevel|pctl_ActivityPatternLevel_TypeCode / pctl_ActivityPatternLevel_Name / pctl_ActivityPatternLevel_Description|TypeCode / Name / Description|Y|pctl_ActivityPatternLevel_TypeCode_PatternLevel / pctl_ActivityPatternLevel_Name_PatternLevel / pctl_ActivityPatternLevel_Description_PatternLevel
[PolicyCenterL4-1].dbo.pc_activitypattern|Priority|ID|[PolicyCenterL4-1].dbo.pctl_Priority|pctl_Priority_TypeCode / pctl_Priority_Name / pctl_Priority_Description|TypeCode / Name / Description|Y|pctl_Priority_TypeCode_Priority / pctl_Priority_Name_Priority / pctl_Priority_Description_Priority
[PolicyCenterL4-1].dbo.pc_activitypattern|TargetBusCalTag|ID|[PolicyCenterL4-1].dbo.pctl_HolidayTagCode|pctl_HolidayTagCode_TypeCode1 / pctl_HolidayTagCode_Name1 / pctl_HolidayTagCode_Description1|TypeCode / Name / Description|Y|pctl_HolidayTagCode_TypeCode_TargetBusCalTag / pctl_HolidayTagCode_Name_TargetBusCalTag / pctl_HolidayTagCode_Description_TargetBusCalTag
[PolicyCenterL4-1].dbo.pc_activitypattern|TargetIncludeDays|ID|[PolicyCenterL4-1].dbo.pctl_IncludeDaysType|pctl_IncludeDaysType_TypeCode1 / pctl_IncludeDaysType_Name1 / pctl_IncludeDaysType_Description1|TypeCode / Name / Description|Y|pctl_IncludeDaysType_TypeCode_TargetIncludeDays / pctl_IncludeDaysType_Name_TargetIncludeDays / pctl_IncludeDaysType_Description_TargetIncludeDays
[PolicyCenterL4-1].dbo.pc_activitypattern|TargetStartPoint|ID|[PolicyCenterL4-1].dbo.pctl_StartPointType|pctl_StartPointType_TypeCode2 /  pctl_StartPointType_Name2 /  pctl_StartPointType_Description2|TypeCode / Name / Description|Y|pctl_StartPointType_TypeCode_TargetStartPoint / pctl_StartPointType_Name_TargetStartPoint / pctl_StartPointType_Description_TargetStartPoint
[PolicyCenterL4-1].dbo.pc_activitypattern|Type|ID|[PolicyCenterL4-1].dbo.pctl_ActivityType|pctl_ActivityType_TypeCode / pctl_ActivityType_Name / pctl_ActivityType_Description|TypeCode / Name / Description|Y|pctl_ActivityType_TypeCode_Type / pctl_ActivityType_Name_Type / pctl_ActivityType_Description_Type
[PolicyCenterL4-1].dbo.pc_actpat_desc_l10n|Language|ID|[PolicyCenterL4-1].dbo.pctl_LanguageType|pctl_LanguageType_TypeCode / pctl_LanguageType_Name / pctl_LanguageType_Description|TypeCode / Name / Description|Y|pctl_LanguageType_TypeCode_Language / pctl_LanguageType_Name_Language / pctl_LanguageType_Description_Language
[PolicyCenterL4-1].dbo.pc_actpat_ssbj_l10n|Language|ID|[PolicyCenterL4-1].dbo.pctl_LanguageType|pctl_LanguageType_TypeCode / pctl_LanguageType_Name / pctl_LanguageType_Description|TypeCode / Name / Description|Y|pctl_LanguageType_TypeCode_Language / pctl_LanguageType_Name_Language / pctl_LanguageType_Description_Language
[PolicyCenterL4-1].dbo.pc_actpat_subj_l10n|Language|ID|[PolicyCenterL4-1].dbo.pctl_LanguageType|pctl_LanguageType_TypeCode / pctl_LanguageType_Name / pctl_LanguageType_Description|TypeCode / Name / Description|Y|pctl_LanguageType_TypeCode_Language / pctl_LanguageType_Name_Language / pctl_LanguageType_Description_Language
