DB/TABLE|Send to Lake|PII (Y/N)|CDC Column|Lookup Ref|HardDeleteFlag|PartitionBy|NumPartitions|Decrypt|Rows|Note
ClaimCenter.dbo.cc_bulkinvoiceitem|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_bulkinvoiceworkitem|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_businessweek|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_businessweek_zone|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_cachestatsrollupsnap|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_cat_desc_l10n|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_cat_name_l10n|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_catastrophe|Y||UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cc_catastropheclaimshistory|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_check|Y|Y|UpdateTime|Y|ID|ID||BankAccountNumber||
ClaimCenter.dbo.cc_checkerworkitem|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_checkgroup|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_checkpayee|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_checkportion|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_checkrecurrence|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_checkrpt|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_checksetreserve|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_citation|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_claim|Y||UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cc_claimaccess|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_claimagglimitrpt|Y||UpdateTime|Y|Y|ID||||
ClaimCenter.dbo.cc_claimassoc|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_claimcontact|Y|Y|UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cc_claimcontactrole|Y||UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cc_claimexception|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_claiminassoc|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_claimindicator|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_claimindicatortrigger|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_claiminfo|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_claiminfoaccess|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_claimisomatchreport|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_claimmetric|Y||UpdateTime|Y|Y|ID||||
ClaimCenter.dbo.cc_claimmetriclimit|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_claimmetricrecalctime|Y||UpdateTime|Y|Y|ID||||
ClaimCenter.dbo.cc_claimrpt|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_claimsnapshot|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_claimsynchst|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_claimtext|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_classcode|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_classificationcondition|Y||UpdateTime|Y|Y|ID||||
ClaimCenter.dbo.cc_clobcoldatadist|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_clustermemberdata|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_concurrentempl|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_conditionfilter|Y||UpdateTime|Y|Y|ID||||
ClaimCenter.dbo.cc_contact|Y|Y|UpdateTime|Y|ID|ID||HICN_Ext,LicenseNumber,TaxID||
ClaimCenter.dbo.cc_contactaddress|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_contactcatsScore|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_contactcontact|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_contactfingerprint|Y||UpdateTime|Y|Y|ID||||
ClaimCenter.dbo.cc_contactinfo|N|Y|UpdateTime|Y|Y|ID||TaxID||
ClaimCenter.dbo.cc_contactorigvalue|N||UpdateTime|Y|Y|ID||||
ClaimCenter.dbo.cc_contactretireworkitem|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_contacttag|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_contribfactor|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_coverage|Y||UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cc_coveragelimit|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_coverageline|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_coveragelinematchdatainfo|N||UpdateTime|Y|Y|ID||||
ClaimCenter.dbo.cc_coverageterms|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_customdatadistreq|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_customddcolumns|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_customddresults|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_dashboardstats|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_databasedatadist|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_databaseupdatestats|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_datachange|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_datadistqueryexec|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_datageninfo|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_datageninfodetail|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_dateanalysisdatadist|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_datebinneddatadist|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_datebinneddddatebin|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_datebinnedddvalue|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_datespandatadist|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_dbconsistcheckqueryexec|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_dbconsistcheckrun|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_dbmsreport|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_dbperfreport|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_dbstatsworkitem|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_deductible|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_deduction|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_document|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_drugprescribed|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_dwellingroomdamage|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_dynamic_assign|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_eftdata|N|Y|UpdateTime|Y||ID||BankAccountNumber||
ClaimCenter.dbo.cc_employmentdata|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_encryptedcolumnregistry|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_endorsement|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_evaluation|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_exchangerate|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_exchangerateset|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_expmetriclimit|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_exposure|Y||UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cc_exposureisomatchreport|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_exposuremetric|Y||UpdateTime|Y|Y|ID||||
ClaimCenter.dbo.cc_exposurerpt|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_exposuresynchst|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_exposuretext|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_financialthresholdtrigger|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_forkeydatadist|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_frptupgrade|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_genericgroupcolumndatadist|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_genericgroupcountdatadist|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_genericgroupdatadist|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_geocodeworkitem|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_group_assign|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_group_name_l10n|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_groupregion|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_groupuser|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_groupuser_assign|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_groupuserworkload|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_holiday|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_holiday_nam_l10n|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_holiday_tag|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_holiday_zone|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_houranalysisdatadist|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_icdcod_desc_i18n|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_icdcode|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_IMEPerformed|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_inboundhistory|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_incident|Y||UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cc_IncompatibleNewExposure|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_injurydiagnosis|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_inst_comm_l10n|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_instrumentedmessage|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_instrumentedworkertask|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_instrumentedworkexecutor|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_InvalidCoverageForCause|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_InvalidCoverageForFault|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_largelossthreshold|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_litstatustypeline|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_loadcallback|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_loadcallbackresult|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_loadcommand|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_loaddbstatisticscommand|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_loadencryptchunk|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_loadencrypttable|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_loaderror|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_loaderrorrow|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_loadexclusion|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_loadinsertselect|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_loadintegritycheck|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_loadoperation|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_loadparameter|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_loadparentstep|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_loadrowcount|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_loadstep|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_loadupdatestatisticsselect|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_locationinfo|N||UpdateTime|Y|Y|ID||||
ClaimCenter.dbo.cc_LodgingProvider|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_matter|Y||UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cc_matterexposure|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_maxkey|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_medicalaction|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_medicalcontactstatus|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_medicaltreatment|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_message|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_messagehistory|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_metroreport|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_negotiation|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_negotiationline|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_negotiationtext|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_note|Y||UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cc_nullablecolumndatadist|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_official|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_officialid|Y|Y|UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_organization|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_OrganizationZoneAdmin|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_orggroup|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_origservreq|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_otherbenefit|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_othercvgdet|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_otherinstruction|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_parameter|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_parentgroup|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_paymentreserve|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_periodpolicy|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_phonenormalizerworkitem|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_policy|Y||UpdateTime|Y|ID|ID||AccountNumber,PolicyNumber||
ClaimCenter.dbo.cc_policylocation|Y||UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cc_policylocationsummary|N|Y|UpdateTime|Y|Y|ID||||
ClaimCenter.dbo.cc_policylocationsummaryjoin|N||UpdateTime|Y|Y|ID||||
ClaimCenter.dbo.cc_policyperiod|Y||UpdateTime|Y||ID||PolicyNumber||
ClaimCenter.dbo.cc_policytypemetriclimits|Y||UpdateTime|Y|Y|ID||||
ClaimCenter.dbo.cc_privilege|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_processhistory|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_profilerconfig|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_propcontentsscheditem|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_propertyfiredamage|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_propertyitem|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_propertyowner|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_propertywaterdamage|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_purgedrootinfo|N||UpdateTime|Y|Y|ID||||
ClaimCenter.dbo.cc_qchoicedesc_l10n|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_qchoicename_l10n|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_qfilter|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_qsetfilter|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_qsetname_l10n|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_qsndefans_l10n|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_qsnname_l10n|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_question|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_questionchoice|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_questionset|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_recToRecReserves|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_recurringcheck|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_ref_WC_PD_benefits|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_ref_WC_PD_WeeksAndLimits|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_ref_WC_TD|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_region|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_region_name_l10n|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_region_zone|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_reinsurancecoverage|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_reinsurancelosscause|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_reinsurancethreshold|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_relatedactivity|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_reserveline|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_reservelinewrapper|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_review|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_reviewcategoryquestionset|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_reviewcategoryscore|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_reviewqanswerset|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_reviewsyncworkitem|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_reviewtype|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_riagreement|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_riagreementgroup|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_ricoding|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_riskunit|Y||UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cc_ritaccount|N||UpdateTime|Y|Y|ID||||
ClaimCenter.dbo.cc_ritaccountlineitem|N||UpdateTime|Y|Y|ID||||
ClaimCenter.dbo.cc_ritaccounttransaction|N||UpdateTime|Y|Y|ID||||
ClaimCenter.dbo.cc_ritaccttxnhist|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_ritransaction|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_ritransactionset|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_role|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_role_desc_l10n|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_role_name_l10n|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_sbqsntext_l10n|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_scriptparameter|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_securityzone|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_seczone_dsc_l10n|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_seczone_nam_l10n|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_sequence|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_servicereqinstructionsvc|N||UpdateTime|Y|Y|ID||||
ClaimCenter.dbo.cc_servicereqstatementdoclink|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_servicerequest|N||UpdateTime|Y|Y|ID||||
ClaimCenter.dbo.cc_servicerequestchange|N||UpdateTime|Y|Y|ID||||
ClaimCenter.dbo.cc_servicerequestdocumentlink|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_servicerequestinstruction|N||UpdateTime|Y|Y|ID||||
ClaimCenter.dbo.cc_servicerequestmetriclimit|N||UpdateTime|Y|Y|ID||||
ClaimCenter.dbo.cc_servicerequeststatement|N||UpdateTime|Y|Y|ID||||
ClaimCenter.dbo.cc_servreqactinst|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_servreqltstqte|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_servreqmetric|N||UpdateTime|Y|Y|ID||||
ClaimCenter.dbo.cc_servreqmsg|N||UpdateTime|Y|Y|ID||||
ClaimCenter.dbo.cc_settlement|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_shemailaddress|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_shfinancialstate|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_shpreviousvalue|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_sitrigger|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_siuanswerset|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_spclstsvcparent|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_specialhandling|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_specialistservice|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_specialistsvccompinctype|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_specsvccompsvcreqkind|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_specsvcdesc_l10n|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_specsvcname_l10n|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_standardworkqueue|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_statcode|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_statuelimitationsline|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_subquestion|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_subroadverseparty|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_subrogationsummary|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_subropaymentschedule|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_SubWorkflows|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_supervisedgroup|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_superviseduser|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_superviseescache|N||UpdateTime|Y|Y|ID||||
ClaimCenter.dbo.cc_systemparameter|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_tabledatadist|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_tableparent|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_tableregistry|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_tableupdatestats|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_tableupdatestatsstatement|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_taccount|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_taccountlineitem|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_taccounttransaction|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_taccttxnhistory|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_tmpagglimitora|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_tmpagglimitrpt|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_tmpbiiteminfo|N||ID|Y|Y|ID||||
