DB/TABLE|Send to Lake|PII (Y/N)|CDC Column|Lookup Ref|HardDeleteFlag|PartitionBy|NumPartitions|Decrypt|Rows|Note
ClaimCenter.dbo.cctl_bulkinvoicestatus|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_bulkinvoicevendors_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_bulksearchdateoptions_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_bureaucauseofloss_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_businesstype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_calendarcontext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_catastrophetype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_category|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_ccc_appraiserassignment|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_ccc_claimoffice|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_ccc_driveinappointment|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_ccc_impactpoints|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_ccc_moirecommendations|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_cferrortype_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_cfprstatuslist_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_characterset|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_checkbatching|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_checkcancelstatus_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_checkhandlinginstructions|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_checkrecurrence|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_checktype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_checkview|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_citationtype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_claimabstractview|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_claimaccesstype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_claimanttype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_claimassoctype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_claimclosedoutcometype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_claimgrouplines_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_claimindicator|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_claimindicatorcriterion|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_claiminfocriteria|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_claimlifecyclestate|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_claimmetric|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_claimmetriccategory|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_claimmetriclimit|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_claimprogresstype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_claimrecentview|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_claimreopenedreason|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_claimsearchnamesearchtype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_claimsearchtype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_claimsecuritytype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_claimsegment|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_claimsource|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_claimstate|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_claimstrategy|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_claimtexttype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_claimtier|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_classificationcondition|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_classtype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_closereopeninfo|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_cluereporttype_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_cmsdataprocessstatus_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_cmssetmethod_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_collisionpoint|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_compensabilitydecision|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_componenttype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_conditionfilter|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_consistencychecktype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_contact|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_contactapprovalstatus|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_contactbidirel|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_contactchangeres|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_contactclass|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_contactlinkstatustype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_contactmatchresulttype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_contactmedicareletter|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_contactmedicaretype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_contactrel|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_contactrelcons|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_contactrole|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_contactrolecategory|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_contactsearchresulttype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_contactsearchtype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_contacttagtype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_contentlineitemcategory|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_contentlineitemschedule|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_copart_auctiontype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_copart_cancelreason|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_copart_losstypecodes|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_copartdocumenttype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_copartdocumentversioncode|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_costcategory|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_costtype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_country|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_coverage|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_coveragebasis|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_coverageform|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_coveragesubtype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_coveragetype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_coveredpartytype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_covterm|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_covtermmodelagg|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_covtermmodelrest|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_covtermmodelval|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_covtermpattern|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_crasheventdescription_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_crasheventstatus_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_crashsearchcategory_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_crashsearchoption_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_currency|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_customconditionparamtype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_customconditionreturntype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_customconditiontype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_customerservicetier|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_customhistorytype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_dailytranslimit_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_dashboardstattype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_datachangestatus|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_datadistributiontype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_datagenactiontype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_datagenstatustype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_datebindatatype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_datefieldstosearchtype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_daterangechoicetype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_datesearchtype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_daysinweektype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_dbupdatestatsrunnertype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_deductiblestatus|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_deductiontype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_deliverymethod|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_dependenttype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_detailedbodyparttype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_detailedinjurytype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_disabledduetoaccident|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_documentsection|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_documentsecuritytype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_documentsenttoprint|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_documentstatustype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_documentsubtype_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_documenttype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_effdatedchangetype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_employmentstatustype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_enbulkinvoiceerror|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_endorsementtype_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_entitysourcetype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_epayinstructionaction|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_epayinstructionstatus_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_epaymentprocessedstatus|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_epaymentstagingstatus_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_epaymentstatus|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_epayyn|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_errorcategory|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_escheatstatustype_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_essentialservicetype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_estdamagetype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_etlstrings|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_exposureabstractview|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_exposureclosedoutcometype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_exposuremetric|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_exposuremetriclimit|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_exposureprogresstype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_exposurereopenedreason|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_exposuresecuritytype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_exposurestate|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_exposuretexttype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_exposuretier|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_exposuretype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_externaltooltype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_extwallmat|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_faultrating|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_feeamount_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_feecategory_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_feetype_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_financialcriterion|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_financialfeedstatus_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_financialscalculationtype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_financialsearchfield|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_financialthreshold|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_financialtriggercause|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_firstfinalreportedagency|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_flaggedtype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_freetextclaimsearchentity|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_freetextclaimsearchtype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_fretxtclmsrchnamesrchtyp|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_futuremedicalactiontype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_fxratemarket|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_gendertype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_geocodestatus|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_geographicalregion|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_groupassignmentmethod|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_grouptype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_history|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_historytype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_holidaytagcode|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_howreportedtype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_icdbodysystem|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_imetype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_importancelevel|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_inboundhistory|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_incident|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_includedaystype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_infosource|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_injuredpartyreptype_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_injurytype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_instructioncategory|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_instructiontype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_insuranceline|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_insurancesubline|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_internalpolicytype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_isostatus|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_jurisdiction|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_jurisdictionalformula|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_jurisdictiontype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_languagetype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_largelossnotificationstat|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_largelossnotificationtype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_ledgerside|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_legalspecialty|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_limitsindicator|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_linecategory|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_litigationstatus|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_loadcommandtype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_loadercallbacktimetype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_loaderrortype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_loadfactortype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_loadsteptype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_lobcode|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_localetype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_locationoftheft|Y||Truncate and Load|TypeList|| ||||
