DB/Table|Source Column|Ref Table Column|Typelist (per Dictionary)|Final Harmonized Column Names (3)|Attributes from Lookup Table|Different?|Harmonized Column Names (3)
PolicyCenter.dbo.pc_accountcontactrole|NumberofAccidents|ID|PolicyCenter.dbo.pctl_NumberOfAccidents|pctl_NumberOfAccidents_TypeCode2 / pctl_NumberOfAccidents_Name2 / pctl_NumberOfAccidents_Description2|TypeCode / Name / Description|Y|pctl_NumberOfAccidents_TypeCode_NumberofAccidents / pctl_NumberOfAccidents_Name_NumberofAccidents / pctl_NumberOfAccidents_Description_NumberofAccidents
PolicyCenter.dbo.pc_accountcontactrole|NumberOfAtFaultAccidents|ID|PolicyCenter.dbo.pctl_NumberOfAccidents|pctl_NumberOfAccidents_TypeCode3 / pctl_NumberOfAccidents_Name3 / pctl_NumberOfAccidents_Description3|TypeCode / Name / Description|Y|pctl_NumberOfAccidents_TypeCode_NumberOfAtFaultAccidents / pctl_NumberOfAccidents_Name_NumberOfAtFaultAccidents / pctl_NumberOfAccidents_Description_NumberOfAtFaultAccidents
PolicyCenter.dbo.pc_accountcontactrole|NumberOfMajorViolations|ID|PolicyCenter.dbo.pctl_NumberOfAccidents|pctl_NumberOfAccidents_TypeCode4 / pctl_NumberOfAccidents_Name4 / pctl_NumberOfAccidents_Description4|TypeCode / Name / Description|Y|pctl_NumberOfAccidents_TypeCode_NumberOfMajorViolations / pctl_NumberOfAccidents_Name_NumberOfMajorViolations / pctl_NumberOfAccidents_Description_NumberOfMajorViolations
PolicyCenter.dbo.pc_accountcontactrole|NumberOfMinorViolations|ID|PolicyCenter.dbo.pctl_NumberOfAccidents|pctl_NumberOfAccidents_TypeCode5 / pctl_NumberOfAccidents_Name5 / pctl_NumberOfAccidents_Description5|TypeCode / Name / Description|Y|pctl_NumberOfAccidents_TypeCode_NumberOfMinorViolations / pctl_NumberOfAccidents_Name_NumberOfMinorViolations / pctl_NumberOfAccidents_Description_NumberOfMinorViolations
PolicyCenter.dbo.pc_accountcontactrole|NumberOfOtherAccidents|ID|PolicyCenter.dbo.pctl_NumberOfAccidents|pctl_NumberOfAccidents_TypeCode6 / pctl_NumberOfAccidents_Name6 / pctl_NumberOfAccidents_Description6|TypeCode / Name / Description|Y|pctl_NumberOfAccidents_TypeCode_NumberOfOtherAccidents / pctl_NumberOfAccidents_Name_NumberOfOtherAccidents / pctl_NumberOfAccidents_Description_NumberOfOtherAccidents
PolicyCenter.dbo.pc_accountcontactrole|NumberOfSpeedingViolations|ID|PolicyCenter.dbo.pctl_NumberOfAccidents|pctl_NumberOfAccidents_TypeCode1 / pctl_NumberOfAccidents_Name1 / pctl_NumberOfAccidents_Description1|TypeCode / Name / Description|Y|pctl_NumberOfAccidents_TypeCode_NumberOfSpeedingViolations / pctl_NumberOfAccidents_Name_NumberOfSpeedingViolations / pctl_NumberOfAccidents_Description_NumberOfSpeedingViolations
PolicyCenter.dbo.pc_accountcontactrole|NumberofViolations|ID|PolicyCenter.dbo.pctl_NumberOfAccidents|pctl_NumberOfAccidents_TypeCode7 / pctl_NumberOfAccidents_Name7 / pctl_NumberOfAccidents_Description7|TypeCode / Name / Description|Y|pctl_NumberOfAccidents_TypeCode_NumberofViolations / pctl_NumberOfAccidents_Name_NumberofViolations / pctl_NumberOfAccidents_Description_NumberofViolations
PolicyCenter.dbo.pc_accountcontactrole|TrainingClassType|ID|PolicyCenter.dbo.pctl_TrainingClassType|pctl_TrainingClassType_TypeCode /  pctl_TrainingClassType_Name /  pctl_TrainingClassType_Description|TypeCode / Name / Description|Y|pctl_TrainingClassType_TypeCode_TrainingClassType / pctl_TrainingClassType_Name_TrainingClassType / pctl_TrainingClassType_Description_TrainingClassType
PolicyCenter.dbo.pc_accountcontactrole|RelationshipTitle|ID|PolicyCenter.dbo.pctl_Relationship|pctl_Relationship_TypeCode /  pctl_Relationship_Name /  pctl_Relationship_Description|TypeCode / Name / Description|Y|pctl_Relationship_TypeCode_RelationshipTitle / pctl_Relationship_Name_RelationshipTitle / pctl_Relationship_Description_RelationshipTitle
PolicyCenter.dbo.pc_acctholdercountworkitem|Status|ID|PolicyCenter.dbo.pctl_WorkItemStatusType|pctl_WorkItemStatusType_TypeCode_Status / pctl_WorkItemStatusType_Name_Status / pctl_WorkItemStatusType_Description_Status|TypeCode / Name / Description|N|pctl_WorkItemStatusType_TypeCode_Status / pctl_WorkItemStatusType_Name_Status / pctl_WorkItemStatusType_Description_Status
PolicyCenter.dbo.pc_accountuserroleassign|AssignmentStatus|ID|PolicyCenter.dbo.pctl_AssignmentStatus|pctl_AssignmentStatus_TypeCode / pctl_AssignmentStatus_Name / pctl_AssignmentStatus_Description|TypeCode / Name / Description|Y|pctl_AssignmentStatus_TypeCode_AssignmentStatus / pctl_AssignmentStatus_Name_AssignmentStatus / pctl_AssignmentStatus_Description_AssignmentStatus
PolicyCenter.dbo.pc_accountuserroleassign|Role|ID|PolicyCenter.dbo.pctl_UserRole|pctl_UserRole_TypeCode / pctl_UserRole_Name / pctl_UserRole_Description|TypeCode / Name / Description|Y|pctl_UserRole_TypeCode_Role / pctl_UserRole_Name_Role / pctl_UserRole_Description_Role
PolicyCenter.dbo.pc_activity|ActivityClass|ID|PolicyCenter.dbo.pctl_ActivityClass|pctl_ActivityClass_TypeCode / pctl_ActivityClass_Name / pctl_ActivityClass_Description|TypeCode / Name / Description|Y|pctl_ActivityClass_TypeCode_ActivityClass / pctl_ActivityClass_Name_ActivityClass / pctl_ActivityClass_Description_ActivityClass
PolicyCenter.dbo.pc_activity|AssignmentStatus|ID|PolicyCenter.dbo.pctl_AssignmentStatus|pctl_AssignmentStatus_TypeCode / pctl_AssignmentStatus_Name / pctl_AssignmentStatus_Description|TypeCode / Name / Description|Y|pctl_AssignmentStatus_TypeCode_AssignmentStatus / pctl_AssignmentStatus_Name_AssignmentStatus / pctl_AssignmentStatus_Description_AssignmentStatus
PolicyCenter.dbo.pc_activity|AssociatedRole|ID|PolicyCenter.dbo.pctl_UserRole|pctl_UserRole_TypeCode / pctl_UserRole_Name / pctl_UserRole_Description|TypeCode / Name / Description|Y|pctl_UserRole_TypeCode_AssociatedRole / pctl_UserRole_Name_AssociatedRole / pctl_UserRole_Description_AssociatedRole
PolicyCenter.dbo.pc_activity|Priority|ID|PolicyCenter.dbo.pctl_Priority|pctl_Priority_TypeCode / pctl_Priority_Name / pctl_Priority_Description|TypeCode / Name / Description|Y|pctl_Priority_TypeCode_Priority / pctl_Priority_Name_Priority / pctl_Priority_Description_Priority
PolicyCenter.dbo.pc_activity|State_Ext|ID|PolicyCenter.dbo.pctl_State|pctl_State_TypeCode / pctl_State_Name / pctl_State_Description|TypeCode / Name / Description|Y|pctl_State_TypeCode_State_Ext / pctl_State_Name_State_Ext / pctl_State_Description_State_Ext
PolicyCenter.dbo.pc_activity|Status|ID|PolicyCenter.dbo.pctl_ActivityStatus|pctl_ActivityStatus_TypeCode / pctl_ActivityStatus_Name / pctl_ActivityStatus_Description|TypeCode / Name / Description|Y|pctl_ActivityStatus_TypeCode_Status / pctl_ActivityStatus_Name_Status / pctl_ActivityStatus_Description_Status
PolicyCenter.dbo.pc_activity|Subtype|ID|PolicyCenter.dbo.pctl_Activity|pctl_Activity_TypeCode / pctl_Activity_Name / pctl_Activity_Description|TypeCode / Name / Description|Y|pctl_Activity_TypeCode_Subtype / pctl_Activity_Name_Subtype / pctl_Activity_Description_Subtype
PolicyCenter.dbo.pc_activity|Type|ID|PolicyCenter.dbo.pctl_ActivityType|pctl_ActivityType_TypeCode / pctl_ActivityType_Name / pctl_ActivityType_Description|TypeCode / Name / Description|Y|pctl_ActivityType_TypeCode_Type / pctl_ActivityType_Name_Type / pctl_ActivityType_Description_Type
PolicyCenter.dbo.pc_activity|ValidationLevel|ID|PolicyCenter.dbo.pctl_ValidationLevel|pctl_ValidationLevel_TypeCode / pctl_ValidationLevel_Name / pctl_ValidationLevel_Description|TypeCode / Name / Description|Y|pctl_ValidationLevel_TypeCode_ValidationLevel / pctl_ValidationLevel_Name_ValidationLevel / pctl_ValidationLevel_Description_ValidationLevel
PolicyCenter.dbo.pc_activitypattern|ActivityClass|ID|PolicyCenter.dbo.pctl_ActivityClass|pctl_ActivityClass_TypeCode / pctl_ActivityClass_Name / pctl_ActivityClass_Description|TypeCode / Name / Description|Y|pctl_ActivityClass_TypeCode_ActivityClass / pctl_ActivityClass_Name_ActivityClass / pctl_ActivityClass_Description_ActivityClass
PolicyCenter.dbo.pc_activitypattern|Category|ID|PolicyCenter.dbo.pctl_ActivityCategory|pctl_ActivityCategory_TypeCode / pctl_ActivityCategory_Name / pctl_ActivityCategory_Description|TypeCode / Name / Description|Y|pctl_ActivityCategory_TypeCode_Category / pctl_ActivityCategory_Name_Category / pctl_ActivityCategory_Description_Category
PolicyCenter.dbo.pc_activitypattern|EscalationBusCalTag|ID|PolicyCenter.dbo.pctl_HolidayTagCode|pctl_HolidayTagCode_TypeCode2 / pctl_HolidayTagCode_Name2 / pctl_HolidayTagCode_Description2|TypeCode / Name / Description|Y|pctl_HolidayTagCode_TypeCode_EscalationBusCalTag / pctl_HolidayTagCode_Name_EscalationBusCalTag / pctl_HolidayTagCode_Description_EscalationBusCalTag
PolicyCenter.dbo.pc_activitypattern|EscalationInclDays|ID|PolicyCenter.dbo.pctl_IncludeDaysType|pctl_IncludeDaysType_TypeCode2 / pctl_IncludeDaysType_Name2 / pctl_IncludeDaysType_Description2|TypeCode / Name / Description|Y|pctl_IncludeDaysType_TypeCode_EscalationInclDays / pctl_IncludeDaysType_Name_EscalationInclDays / pctl_IncludeDaysType_Description_EscalationInclDays
PolicyCenter.dbo.pc_activitypattern|EscalationStartPt|ID|PolicyCenter.dbo.pctl_StartPointType|pctl_StartPointType_TypeCode1 /  pctl_StartPointType_Name1 /  pctl_StartPointType_Description1|TypeCode / Name / Description|Y|pctl_StartPointType_TypeCode_EscalationStartPt / pctl_StartPointType_Name_EscalationStartPt / pctl_StartPointType_Description_EscalationStartPt
PolicyCenter.dbo.pc_activitypattern|PatternLevel|ID|PolicyCenter.dbo.pctl_ActivityPatternLevel|pctl_ActivityPatternLevel_TypeCode / pctl_ActivityPatternLevel_Name / pctl_ActivityPatternLevel_Description|TypeCode / Name / Description|Y|pctl_ActivityPatternLevel_TypeCode_PatternLevel / pctl_ActivityPatternLevel_Name_PatternLevel / pctl_ActivityPatternLevel_Description_PatternLevel
PolicyCenter.dbo.pc_activitypattern|Priority|ID|PolicyCenter.dbo.pctl_Priority|pctl_Priority_TypeCode / pctl_Priority_Name / pctl_Priority_Description|TypeCode / Name / Description|Y|pctl_Priority_TypeCode_Priority / pctl_Priority_Name_Priority / pctl_Priority_Description_Priority
PolicyCenter.dbo.pc_activitypattern|TargetBusCalTag|ID|PolicyCenter.dbo.pctl_HolidayTagCode|pctl_HolidayTagCode_TypeCode1 / pctl_HolidayTagCode_Name1 / pctl_HolidayTagCode_Description1|TypeCode / Name / Description|Y|pctl_HolidayTagCode_TypeCode_TargetBusCalTag / pctl_HolidayTagCode_Name_TargetBusCalTag / pctl_HolidayTagCode_Description_TargetBusCalTag
PolicyCenter.dbo.pc_activitypattern|TargetIncludeDays|ID|PolicyCenter.dbo.pctl_IncludeDaysType|pctl_IncludeDaysType_TypeCode1 / pctl_IncludeDaysType_Name1 / pctl_IncludeDaysType_Description1|TypeCode / Name / Description|Y|pctl_IncludeDaysType_TypeCode_TargetIncludeDays / pctl_IncludeDaysType_Name_TargetIncludeDays / pctl_IncludeDaysType_Description_TargetIncludeDays
PolicyCenter.dbo.pc_activitypattern|TargetStartPoint|ID|PolicyCenter.dbo.pctl_StartPointType|pctl_StartPointType_TypeCode2 /  pctl_StartPointType_Name2 /  pctl_StartPointType_Description2|TypeCode / Name / Description|Y|pctl_StartPointType_TypeCode_TargetStartPoint / pctl_StartPointType_Name_TargetStartPoint / pctl_StartPointType_Description_TargetStartPoint
PolicyCenter.dbo.pc_activitypattern|Type|ID|PolicyCenter.dbo.pctl_ActivityType|pctl_ActivityType_TypeCode / pctl_ActivityType_Name / pctl_ActivityType_Description|TypeCode / Name / Description|Y|pctl_ActivityType_TypeCode_Type / pctl_ActivityType_Name_Type / pctl_ActivityType_Description_Type
PolicyCenter.dbo.pc_actpat_desc_l10n|Language|ID|PolicyCenter.dbo.pctl_LanguageType|pctl_LanguageType_TypeCode / pctl_LanguageType_Name / pctl_LanguageType_Description|TypeCode / Name / Description|Y|pctl_LanguageType_TypeCode_Language / pctl_LanguageType_Name_Language / pctl_LanguageType_Description_Language
PolicyCenter.dbo.pc_actpat_ssbj_l10n|Language|ID|PolicyCenter.dbo.pctl_LanguageType|pctl_LanguageType_TypeCode / pctl_LanguageType_Name / pctl_LanguageType_Description|TypeCode / Name / Description|Y|pctl_LanguageType_TypeCode_Language / pctl_LanguageType_Name_Language / pctl_LanguageType_Description_Language
PolicyCenter.dbo.pc_actpat_subj_l10n|Language|ID|PolicyCenter.dbo.pctl_LanguageType|pctl_LanguageType_TypeCode / pctl_LanguageType_Name / pctl_LanguageType_Description|TypeCode / Name / Description|Y|pctl_LanguageType_TypeCode_Language / pctl_LanguageType_Name_Language / pctl_LanguageType_Description_Language
PolicyCenter.dbo.pcx_additionalinsuredcov|ChangeType|ID|PolicyCenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description|Y|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType
PolicyCenter.dbo.pcx_addInsuredcovBP7ext|ChangeType|ID|PolicyCenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description|N|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType
PolicyCenter.dbo.pc_addlinterestdetail|AdditionalInterestType|ID|PolicyCenter.dbo.pctl_AdditionalInterestType|pctl_AdditionalInterestType_TypeCode / pctl_AdditionalInterestType_Name / pctl_AdditionalInterestType_Description|TypeCode / Name / Description|Y|pctl_AdditionalInterestType_TypeCode_AdditionalInterestType / pctl_AdditionalInterestType_Name_AdditionalInterestType / pctl_AdditionalInterestType_Description_AdditionalInterestType
PolicyCenter.dbo.pc_addlinterestdetail|ChangeType|ID|PolicyCenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description|Y|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType
PolicyCenter.dbo.pc_addlinterestdetail|DescriptionProperty|ID|PolicyCenter.dbo.pctl_DescriptionProperty_BP7|pctl_DescriptionProperty_BP7_TypeCode / pctl_DescriptionProperty_BP7_Name / pctl_DescriptionProperty_BP7_Description|TypeCode / Name / Description|Y|pctl_DescriptionProperty_BP7_TypeCode_DescriptionProperty / pctl_DescriptionProperty_BP7_Name_DescriptionProperty / pctl_DescriptionProperty_BP7_Description_DescriptionProperty
PolicyCenter.dbo.pc_addlinterestdetail|Subtype|ID|PolicyCenter.dbo.pctl_AddlInterestDetail|pctl_AddlInterestDetail_TypeCode / pctl_AddlInterestDetail_Name / pctl_AddlInterestDetail_Description|TypeCode / Name / Description|Y|pctl_AddlInterestDetail_TypeCode_Subtype / pctl_AddlInterestDetail_Name_Subtype / pctl_AddlInterestDetail_Description_Subtype
PolicyCenter.dbo.pc_address|AddressType|ID|PolicyCenter.dbo.pctl_AddressType|pctl_AddressType_TypeCode / pctl_AddressType_Name / pctl_AddressType_Description|TypeCode / Name / Description|Y|pctl_AddressType_TypeCode_AddressType / pctl_AddressType_Name_AddressType / pctl_AddressType_Description_AddressType
PolicyCenter.dbo.pc_address|Country|ID|PolicyCenter.dbo.pctl_Country|pctl_Country_TypeCode / pctl_Country_Name / pctl_Country_Description|TypeCode / Name / Description|Y|pctl_Country_TypeCode_Country / pctl_Country_Name_Country / pctl_Country_Description_Country
PolicyCenter.dbo.pc_address|GeocodeStatus|ID|PolicyCenter.dbo.pctl_GeocodeStatus|pctl_GeocodeStatus_TypeCode / pctl_GeocodeStatus_Name / pctl_GeocodeStatus_Description|TypeCode / Name / Description|Y|pctl_GeocodeStatus_TypeCode_GeocodeStatus / pctl_GeocodeStatus_Name_GeocodeStatus / pctl_GeocodeStatus_Description_GeocodeStatus
PolicyCenter.dbo.pc_address|State|ID|PolicyCenter.dbo.pctl_State|pctl_State_TypeCode / pctl_State_Name / pctl_State_Description|TypeCode / Name / Description|Y|pctl_State_TypeCode_State / pctl_State_Name_State / pctl_State_Description_State
PolicyCenter.dbo.pc_address|Subtype|ID|PolicyCenter.dbo.pctl_Address|pctl_Address_TypeCode / pctl_Address_Name / pctl_Address_Description|TypeCode / Name / Description|Y|pctl_Address_TypeCode_Subtype / pctl_Address_Name_Subtype / pctl_Address_Description_Subtype
PolicyCenter.dbo.pc_address|PhoneCountry|ID|PolicyCenter.dbo.pctl_PhoneCountryCode|pctl_PhoneCountryCode_TypeCode / pctl_PhoneCountryCode_Name / pctl_PhoneCountryCode_Description|TypeCode / Name / Description|Y|pctl_PhoneCountryCode_TypeCode_PhoneCountry / pctl_PhoneCountryCode_Name_PhoneCountry / pctl_PhoneCountryCode_Description_PhoneCountry
PolicyCenter.dbo.pc_addresscorrection|Country|ID|PolicyCenter.dbo.pctl_Country|pctl_Country_TypeCode_Country / pctl_Country_Name_Country / pctl_Country_Description_Country|TypeCode / Name / Description|N|pctl_Country_TypeCode_Country / pctl_Country_Name_Country / pctl_Country_Description_Country
PolicyCenter.dbo.pc_addresscorrection|State|ID|PolicyCenter.dbo.pctl_State|pctl_State_TypeCode_State / pctl_State_Name_State / pctl_State_Description_State|TypeCode / Name / Description|N|pctl_State_TypeCode_State / pctl_State_Name_State / pctl_State_Description_State
PolicyCenter.dbo.pc_affinitygroup|AffinityGroupType|ID|PolicyCenter.dbo.pctl_AffinityGroupType|pctl_AffinityGroupType_TypeCode / pctl_AffinityGroupType_Name / pctl_AffinityGroupType_Description|TypeCode / Name / Description|Y|pctl_AffinityGroupType_TypeCode_AffinityGroupType / pctl_AffinityGroupType_Name_AffinityGroupType / pctl_AffinityGroupType_Description_AffinityGroupType
PolicyCenter.dbo.pc_affinitygroup|PrimaryContactPhoneCountryCode|ID|PolicyCenter.dbo.pctl_PhoneCountryCode|pctl_PhoneCountryCode_TypeCode / pctl_PhoneCountryCode_Name / pctl_PhoneCountryCode_Description|TypeCode / Name / Description|Y|pctl_PhoneCountryCode_TypeCode_PrimaryContactPhoneCountryCode / pctl_PhoneCountryCode_Name_PrimaryContactPhoneCountryCode / pctl_PhoneCountryCode_Description_PrimaryContactPhoneCountryCode
PolicyCenter.dbo.pcx_affinitygroupisobopcode|IsoBopCode|ID|PolicyCenter.dbo.pctl_BOPCodeAffinityPrgm_Ext|pctl_BOPCodeAffinityPrgm_Ext_TypeCode_IsoBopCode / pctl_BOPCodeAffinityPrgm_Ext_Name_IsoBopCode / pctl_BOPCodeAffinityPrgm_Ext_Description_IsoBopCode|TypeCode / Name / Description|N|pctl_BOPCodeAffinityPrgm_Ext_TypeCode_IsoBopCode / pctl_BOPCodeAffinityPrgm_Ext_Name_IsoBopCode / pctl_BOPCodeAffinityPrgm_Ext_Description_IsoBopCode
PolicyCenter.dbo.pc_affinitygroupjur|Jurisdiction|ID|PolicyCenter.dbo.pctl_Jurisdiction|pctl_Jurisdiction_TypeCode / pctl_Jurisdiction_Name / pctl_Jurisdiction_Description|TypeCode / Name / Description|Y|pctl_Jurisdiction_TypeCode_Jurisdiction / pctl_Jurisdiction_Name_Jurisdiction / pctl_Jurisdiction_Description_Jurisdiction
PolicyCenter.dbo.pcx_affinitygroupstat|State|ID|PolicyCenter.dbo.pctl_State|pctl_State_TypeCode / pctl_State_Name / pctl_State_Description|TypeCode / Name / Description|Y|pctl_State_TypeCode_State / pctl_State_Name_State / pctl_State_Description_State
PolicyCenter.dbo.pc_agencybillplan|Currency|ID|PolicyCenter.dbo.pctl_Currency|pctl_Currency_TypeCode_Currency / pctl_Currency_Name_Currency / pctl_Currency_Description_Currency|TypeCode / Name / Description|N|pctl_Currency_TypeCode_Currency / pctl_Currency_Name_Currency / pctl_Currency_Description_Currency
PolicyCenter.dbo.pc_agreementparticipant|FlatPremium_cur|ID|PolicyCenter.dbo.pctl_Currency|pctl_Currency_TypeCode_FlatPremium_cur / pctl_Currency_Name_FlatPremium_cur / pctl_Currency_Description_FlatPremium_cur|TypeCode / Name / Description|N|pctl_Currency_TypeCode_FlatPremium_cur / pctl_Currency_Name_FlatPremium_cur / pctl_Currency_Description_FlatPremium_cur
PolicyCenter.dbo.pcx_allItemLimit|ChangeType|ID|PolicyCenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description|Y|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType
PolicyCenter.dbo.pcx_amsapti_ext|Subtype|ID|PolicyCenter.dbo.pctl_AmsApti_Ext|pctl_AmsApti_Ext_TypeCode / pctl_AmsApti_Ext_Name / pctl_AmsApti_Ext_Description|TypeCode / Name / Description|Y|pctl_AmsApti_Ext_TypeCode_Subtype / pctl_AmsApti_Ext_Name_Subtype / pctl_AmsApti_Ext_Description_Subtype
PolicyCenter.dbo.pc_archiveworkitem|Status|ID|PolicyCenter.dbo.pctl_WorkItemStatusType|pctl_WorkItemStatusType_TypeCode_Status / pctl_WorkItemStatusType_Name_Status / pctl_WorkItemStatusType_Description_Status|TypeCode / Name / Description|N|pctl_WorkItemStatusType_TypeCode_Status / pctl_WorkItemStatusType_Name_Status / pctl_WorkItemStatusType_Description_Status
PolicyCenter.dbo.pcx_assistedCareLiving|ChangeType|ID|PolicyCenter.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description|Y|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType
